"","PFD-B_CF1","PFD-FR_CF1","PFD-G_CF1","PFD-R_CF1","PFD-UV_CF1"
"THUPLI",1.60606,4.142635,2.147224,2.131243,0.151515
"THUPLI.1",1.204502,3.554118,1.623233,1.594854,0.115542
"THUPLI.10",1.374633,3.649155,1.838089,1.823355,0.130703
"THUPLI.11",1.847914,4.134367,2.415945,2.39781,0.176112
"THUPLI.18",2.600075,5.174442,3.377991,3.380388,0.246443
"THUPLI.2",1.952878,4.333815,2.536734,2.508889,0.187128
"THUPLI.25",2.086201,4.504175,2.747515,2.75735,0.197406
"THUPLI.26",2.921663,5.8516,3.767044,3.7342,0.279883
"THUPLI.27",1.716329,4.146811,2.263056,2.255003,0.163687
"THUPLI.37",3.260432,6.780957,4.348833,4.458057,0.299724
"THUPLI.38",2.045441,6.488857,2.781733,2.765726,0.195599
"THUPLI.39",2.421259,4.91852,3.161399,3.191215,0.226773
"THUPLI.43",2.534585,5.242362,3.294828,3.312106,0.241074
"THUPLI.44",2.266905,4.695588,2.985074,3.034235,0.212339
"THUPLI.45",1.765821,3.758448,2.298283,2.336612,0.168344
"THUPLI.46",1.084941,2.598929,1.418608,1.415334,0.105882
"THUPLI.47",1.350011,3.106683,1.752476,1.741723,0.131652
"THUPLI.48",1.209769,2.91655,1.583261,1.581231,0.117778
"THUPLI.49",1.66841,3.651422,2.160867,2.141143,0.161419
"THUPLI.50",1.962689,4.298442,2.545295,2.533681,0.189121
"THUPLI.51",1.295416,3.136743,1.700518,1.68706,0.125615
"THUPLI.52",1.546345,3.515014,2.011678,2.000624,0.149727
"THUPLI.53",1.689561,3.717689,2.18435,2.165312,0.163844
"THUPLI.54",0.98414,2.211865,1.289221,1.295967,0.0956109999999999
"THUPLI.9",1.35883,3.511948,1.801798,1.782322,0.130125
"TSUHET.18",1.681117,4.373282,2.232862,2.215329,0.160673
"TSUHET.19",1.952894,4.601544,2.551176,2.535588,0.187013
"TSUHET.20",2.003952,4.250618,2.604828,2.595671,0.191867
"TSUHET.27",2.048452,4.678388,2.66878,2.645193,0.196919
"TSUHET.28",1.498441,3.380571,1.968857,1.976869,0.142346
"TSUHET.29",1.357124,3.463112,1.793819,1.782069,0.13084
"TSUHET.39",1.489808,3.462164,1.974513,1.994932,0.141222
"TSUHET.40",2.375147,4.656944,3.076441,3.079846,0.226157
"TSUHET.41",2.062574,4.271113,2.699335,2.71727,0.195063
"TSUHET.45",2.675748,5.474467,3.450006,3.434807,0.257188
"TSUHET.46",2.541678,5.057006,3.298081,3.310326,0.240924
"TSUHET.47",2.288265,5.003584,2.988564,2.992475,0.217897
"TSUHET.54",1.795981,4.356054,2.366096,2.374202,0.171748
"TSUHET.55",2.537319,5.486959,3.375891,3.429814,0.235139
"TSUHET.56",1.771687,4.452546,2.352672,2.384337,0.168991
"TSUHET.69",1.983136,5.023286,2.597185,2.568703,0.192461
"TSUHET.70",1.625535,3.661993,2.117986,2.131376,0.156541
"TSUHET.71",2.094666,4.184371,2.687779,2.665133,0.203101
