"","PFD-B_PL1","PFD-FR_PL1","PFD-G_PL1","PFD-R_PL1","PFD-UV_PL1"
"LONSOF",2.215974,4.631976,2.854595,2.833057,0.214234
"LONSOF.1",2.065217,4.36469,2.666561,2.650248,0.199433
"LONSOF.105",27.340912,28.987766,33.458599,33.310375,2.640992
"LONSOF.106",15.113062,18.8118,18.771582,18.660418,1.455249
"LONSOF.107",36.23547,38.486134,44.434067,44.27253,3.496082
"LONSOF.111",36.23547,38.486134,44.434067,44.27253,3.496082
"LONSOF.112",37.45826,39.311226,45.960953,46.022743,3.597153
"LONSOF.113",43.791435,45.324085,53.659092,53.559711,4.215273
"LONSOF.114",40.732922,42.96571,50.041512,49.78714,3.923706
"LONSOF.115",7.502876,11.162189,9.569337,10.341651,0.714009
"LONSOF.116",8.477547,13.61017,10.875614,10.751545,0.810689
"LONSOF.117",9.375048,14.247322,11.961418,11.896211,0.895241
"LONSOF.118",30.398085,37.099308,38.108952,37.93119,2.903607
"LONSOF.119",61.606663,62.324017,75.701019,75.816574,5.91056
"LONSOF.120",58.953236,61.976761,73.023567,73.020332,5.638529
"LONSOF.121",99.242882,99.699226,122.18869,122.812248,9.478951
"LONSOF.122",109.97718,105.123985,134.33403,135.436966,10.529189
"LONSOF.123",73.11792,78.64724,90.468163,90.763184,6.989914
"LONSOF.124",39.653408,50.52998,50.381626,50.536491,3.745263
"LONSOF.125",81.62532,85.607368,101.463623,103.062958,7.693369
"LONSOF.126",56.972157,55.539314,69.654411,70.188705,5.460047
"LONSOF.127",41.455135,42.897209,50.874832,51.67131,3.969663
"LONSOF.128",30.431335,32.046864,37.507725,38.089108,2.907472
"LONSOF.2",2.222713,4.412416,2.848534,2.824648,0.215211
"LONSOF.21",26.278423,35.018005,33.419025,33.355904,2.467099
"LONSOF.22",21.153605,31.937235,27.231632,27.151278,2.003277
"LONSOF.23",22.118622,33.170803,28.407291,28.25029,2.097013
"LONSOF.36",13.759351,19.004536,17.43516,17.32239,1.3091
"LONSOF.37",16.426241,23.645618,20.921772,20.710129,1.564584
"LONSOF.38",14.623017,19.193394,18.364496,18.233732,1.40355
"LONSOF.51",19.536188,27.227631,24.805767,24.468796,1.867039
"LONSOF.52",29.674408,35.918251,37.070576,36.866039,2.853336
"LONSOF.53",29.225239,35.789413,36.613041,36.07848,2.808392
"LONSOF.72",27.283897,31.501953,33.747318,33.313297,2.632875
"LONSOF.73",14.684362,19.706509,18.405193,18.101402,1.413852
"LONSOF.74",22.187181,25.902246,27.333799,26.980289,2.146399
"LONSOF.87",7.228089,9.697365,9.0532,8.966027,0.696009
"LONSOF.88",5.440828,8.183979,6.894348,6.800985,0.523661
"LONSOF.89",7.328508,9.917569,9.131633,9.008336,0.709227
"PICGLA.10",50.174587,51.173527,62.308903,62.835693,4.66211
"PICGLA.11",59.622269,60.575954,74.23716,74.966423,5.524458
"PICGLA.27",52.558945,54.161442,65.633415,66.257515,4.861068
"PICGLA.28",55.370777,55.974014,68.670502,69.381058,5.151955
"PICGLA.29",44.048557,44.875999,54.440655,54.798321,4.121353
"PICGLA.36",35.823223,36.767391,43.901451,43.835964,3.39186
"PICGLA.9",60.282269,59.451843,74.287048,74.975761,5.649741
"PINCON.10",65.509575,67.041573,80.470215,81.195,6.257805
"PINCON.11",24.991814,35.371384,31.945127,31.753937,2.380157
"PINCON.12",77.511574,78.604446,95.579376,96.390388,7.380506
"PINCON.13",70.852943,68.023605,86.66906,87.663147,6.774185
"PINCON.14",56.35062,55.314762,68.947357,69.622421,5.399594
"PINCON.27",49.584942,49.055996,60.748951,61.428173,4.74838
"PINCON.28",25.825119,32.612724,32.387897,32.46397,2.469029
"PINCON.29",24.797651,32.875771,31.373821,31.243603,2.363019
"PINCON.42",12.297709,20.51326,15.976721,15.895364,1.165903
"PINCON.43",35.852097,35.325188,43.555702,43.806049,3.460867
"PINCON.44",40.10952,39.293377,48.696392,48.864826,3.871602
"PINCON.54",28.441387,29.836264,34.805489,34.788883,2.744572
"PINCON.55",37.173069,37.671993,45.309566,45.487644,3.583041
"PINCON.56",42.721573,42.914097,52.324375,52.748291,4.101571
"PINCON.9",37.140148,47.595592,47.109367,47.072144,3.52301
