variable,species,avg
380nm,ACEGLA,-269.54226566666665
380nm,ACEMAC,-143.76070092592593
380nm,ALNRUB,-148.9573309
380nm,POPTRI,-308.52690866666666
380nm,THUPLI,-230.72382913333334
380nm,TSUHET,-240.95211933333331
381nm,ACEGLA,-272.4699038333333
381nm,ACEMAC,-145.3043338148148
381nm,ALNRUB,-150.69677313333332
381nm,POPTRI,-312.11311066666667
381nm,THUPLI,-233.01957033333335
381nm,TSUHET,-243.22964833333336
382nm,ACEGLA,-275.820004
382nm,ACEMAC,-147.2695476296296
382nm,ALNRUB,-152.56186893333333
382nm,POPTRI,-315.68998166666665
382nm,THUPLI,-235.82147006666668
382nm,TSUHET,-246.5691533333333
383nm,ACEGLA,-278.7743528333333
383nm,ACEMAC,-148.88561762962962
383nm,ALNRUB,-154.18561813333332
383nm,POPTRI,-318.90964933333333
383nm,THUPLI,-238.2132474
383nm,TSUHET,-249.22912433333332
384nm,ACEGLA,-281.15740983333336
384nm,ACEMAC,-149.99771474074075
384nm,ALNRUB,-155.46099963333333
384nm,POPTRI,-321.6136073333334
384nm,THUPLI,-240.01295686666666
384nm,TSUHET,-250.90806200000003
385nm,ACEGLA,-286.87643733333334
385nm,ACEMAC,-152.9093748888889
385nm,ALNRUB,-158.54167406666667
385nm,POPTRI,-327.8872446666667
385nm,THUPLI,-244.62786133333333
385nm,TSUHET,-255.71793033333333
386nm,ACEGLA,-295.4316415
386nm,ACEMAC,-157.3509532962963
386nm,ALNRUB,-163.15712763333332
386nm,POPTRI,-337.195638
386nm,THUPLI,-251.63608446666666
386nm,TSUHET,-263.1894953333333
387nm,ACEGLA,-299.41356616666667
387nm,ACEMAC,-159.26834692592593
387nm,ALNRUB,-165.3199899
387nm,POPTRI,-341.2601853333333
387nm,THUPLI,-254.8063634
387nm,TSUHET,-266.323152
388nm,ACEGLA,-301.16171783333334
388nm,ACEMAC,-159.9528344074074
388nm,ALNRUB,-166.2849051
388nm,POPTRI,-342.763434
388nm,THUPLI,-256.10204266666665
388nm,TSUHET,-267.338007
389nm,ACEGLA,-307.70194033333337
389nm,ACEMAC,-163.54676107407408
389nm,ALNRUB,-170.02596183333333
389nm,POPTRI,-350.5653676666667
389nm,THUPLI,-261.6966122
389nm,TSUHET,-273.51752999999997
390nm,ACEGLA,-315.4149816666667
390nm,ACEMAC,-167.85277274074073
390nm,ALNRUB,-174.44646616666665
390nm,POPTRI,-359.9088806666667
390nm,THUPLI,-268.343322
390nm,TSUHET,-280.96108
391nm,ACEGLA,-318.6626081666667
391nm,ACEMAC,-169.47564944444446
391nm,ALNRUB,-176.20863413333333
391nm,POPTRI,-363.23961133333336
391nm,THUPLI,-270.80236593333336
391nm,TSUHET,-283.15760966666664
392nm,ACEGLA,-322.2206541666667
392nm,ACEMAC,-171.25417992592594
392nm,ALNRUB,-178.15167243333332
392nm,POPTRI,-366.9029046666667
392nm,THUPLI,-273.51672213333336
392nm,TSUHET,-285.603044
393nm,ACEGLA,-334.46894266666663
393nm,ACEMAC,-177.8226398148148
393nm,ALNRUB,-185.21329693333334
393nm,POPTRI,-381.0725493333333
393nm,THUPLI,-283.8798952
393nm,TSUHET,-296.63915499999996
394nm,ACEGLA,-347.8627773333333
394nm,ACEMAC,-184.96420625925927
394nm,ALNRUB,-192.87148403333333
394nm,POPTRI,-396.444505
394nm,THUPLI,-295.1603015333333
394nm,TSUHET,-308.7081206666667
395nm,ACEGLA,-365.8780215
395nm,ACEMAC,-194.41780488888887
395nm,ALNRUB,-202.93633156666667
395nm,POPTRI,-416.66689233333335
395nm,THUPLI,-310.1409992
395nm,TSUHET,-324.94407433333333
396nm,ACEGLA,-383.4227505
396nm,ACEMAC,-203.67699707407408
396nm,ALNRUB,-212.6726543
396nm,POPTRI,-436.37936033333335
396nm,THUPLI,-324.6506278
396nm,TSUHET,-340.3972616666666
397nm,ACEGLA,-400.01614149999995
397nm,ACEMAC,-212.54308644444444
397nm,ALNRUB,-221.7446974
397nm,POPTRI,-455.0607543333333
397nm,THUPLI,-338.20769993333334
397nm,TSUHET,-354.26760033333335
398nm,ACEGLA,-420.3427781666667
398nm,ACEMAC,-223.3633162962963
398nm,ALNRUB,-233.0584271
398nm,POPTRI,-478.43292733333334
398nm,THUPLI,-355.1552412
398nm,TSUHET,-371.85995033333336
399nm,ACEGLA,-444.9937635
399nm,ACEMAC,-236.44715144444444
399nm,ALNRUB,-246.96877816666665
399nm,POPTRI,-507.23861166666666
399nm,THUPLI,-376.03014626666663
399nm,TSUHET,-393.76363
400nm,ACEGLA,-466.79795866666666
400nm,ACEMAC,-247.8470521851852
400nm,ALNRUB,-259.10664273333333
400nm,POPTRI,-531.734114
400nm,THUPLI,-394.14110726666667
400nm,TSUHET,-413.209958
401nm,ACEGLA,-486.6730501666667
401nm,ACEMAC,-258.10582944444445
401nm,ALNRUB,-270.0433198333333
401nm,POPTRI,-553.3086926666667
401nm,THUPLI,-410.3791273333333
401nm,TSUHET,-430.99112599999995
402nm,ACEGLA,-507.81046533333335
402nm,ACEMAC,-269.38676788888887
402nm,ALNRUB,-281.89899963333335
402nm,POPTRI,-577.428972
402nm,THUPLI,-427.98096093333334
402nm,TSUHET,-449.4868443333333
