,Site,R1,R10,R11,R12,R13,R14,R15,R2,R3,R4,R5,R6,R7,R8,R9
THUPLI,PSPSPT,92.582886,87.901207,91.199615,89.879784,92.603348,98.399544,91.279823,94.761352,97.26889,93.561081,92.64055,93.089698,97.766739,92.694076,76.808731
THUPLI.1,PSPSPT,86.980171,77.303268,84.566283,80.520256,86.79892,96.653893,85.095299,90.15776,94.076568,88.778572,87.114243,87.023285,95.569374,87.616234,60.061184
THUPLI.2,PSPSPT,97.394341,97.297569,96.877433,98.721718,97.601365,99.352661,96.71135,98.830573,99.05722,97.508324,97.569917,98.545372,98.839447,96.902725,90.786927
THUPLI.3,PSPSPT,94.206298,89.651932,93.045708,92.138771,94.085976,98.328697,93.512268,95.641937,97.07412,94.991745,94.232254,94.249077,97.793892,94.917213,83.082252
THUPLI.4,PSPSPT,94.531105,90.523888,93.447357,92.728012,94.456337,98.548531,93.790199,95.990883,97.480293,95.284264,94.558182,94.698212,98.0345,95.085152,83.735611
THUPLI.5,PSPSPT,91.635475,85.480278,90.089142,88.255615,91.532585,97.807549,90.44487,93.766067,96.162865,92.805725,91.744164,91.84185,97.104691,92.275246,74.598243
TSUHET,PSPSPT,92.73072,88.340935,91.585548,91.306107,92.765411,98.343078,91.505448,94.98117,97.264229,93.724679,92.98185,93.657387,97.819092,93.005111,76.761772
TSUHET.1,PSPSPT,94.375076,90.198418,93.256897,92.799736,94.275276,98.425743,93.711419,95.877533,97.303512,95.150857,94.430946,94.608773,98.038154,95.090835,83.446877
TSUHET.2,PSPSPT,88.811477,81.605523,87.192734,86.368233,88.833077,97.175064,87.067536,92.043602,95.33493,90.337609,89.421776,90.194642,96.476929,89.351028,63.714523
TSUHET.3,PSPSPT,89.292388,81.372963,87.324195,84.342346,89.138229,97.229469,87.762078,91.933838,95.109764,90.808037,89.420571,89.416946,96.330894,89.990394,67.352822
TSUHET.4,PSPSPT,91.105178,84.50528,89.502426,87.660339,90.981445,97.601928,89.852783,93.344284,95.836922,92.342003,91.2799,91.375648,96.831894,91.70375,72.585236
TSUHET.5,PSPSPT,88.317321,78.799233,86.242034,83.148567,88.056984,96.479751,86.895699,90.924369,93.817741,89.929703,88.570824,88.295166,95.523148,89.418236,64.592194
ALNRUB,PSPSPT,97.518897,95.950485,96.900772,97.753502,97.507431,99.171753,97.11306,98.399604,98.653602,97.651795,97.595803,97.83258,98.757026,97.683715,92.648476
ALNRUB.1,PSPSPT,88.63018,79.510674,86.533119,83.426826,88.462281,96.526573,87.229348,91.245544,93.83995,90.128205,88.879212,88.557487,95.506576,89.702674,65.970047
ALNRUB.2,PSPSPT,92.855262,87.248947,91.461807,90.455124,92.797646,97.729995,91.975594,94.656257,96.051613,93.726593,93.056885,93.039612,97.083473,93.55564,78.481102
ACECIR,PSPSPT,87.467178,79.696709,85.548667,83.913963,87.648232,96.894226,85.270561,91.179397,94.739662,89.096535,88.115228,88.807518,95.922134,87.66262,59.346451
ACECIR.1,PSPSPT,87.86515,80.434822,85.999122,84.445998,88.056015,97.038773,85.701843,91.498992,94.984123,89.436814,88.475976,89.187332,96.088577,88.006942,60.622795
ACECIR.2,PSPSPT,87.305717,79.396759,85.367767,83.387939,87.475502,96.900864,85.047028,91.036247,94.705131,88.978562,87.886827,88.544189,95.911003,87.454932,59.015549
TSUHET.6,PSPSPT,96.734184,96.706093,96.048584,98.273132,97.144227,99.466362,95.707871,98.612228,99.35801,96.819321,97.103433,98.19326,98.65757,95.841339,87.503525
