,Site,PFD-FR,PFD-R
THUPLI,PSPSPT,-329.940664,-408.502801
THUPLI.1,PSPSPT,-329.1149,-409.36694
THUPLI.2,PSPSPT,-317.656163,-392.322182
THUPLI.3,PSPSPT,-348.560674,-427.166542
THUPLI.4,PSPSPT,-348.650681,-427.135358
THUPLI.5,PSPSPT,-349.292123,-427.679645
TSUHET,PSPSPT,-333.339555,-419.742123
TSUHET.1,PSPSPT,-335.681479,-421.051434
TSUHET.2,PSPSPT,-335.680129,-421.323939
TSUHET.3,PSPSPT,-352.875656,-443.855474
TSUHET.4,PSPSPT,-352.643818,-443.607161
TSUHET.5,PSPSPT,-353.876882,-444.103851
ALNRUB,PSPSPT,-269.614512,-330.671462
ALNRUB.1,PSPSPT,-277.602706,-337.353846
ALNRUB.2,PSPSPT,-274.337756,-336.129164
ACECIR,PSPSPT,-277.012264,-345.819954
ACECIR.1,PSPSPT,-276.984005,-345.749262
ACECIR.2,PSPSPT,-277.140064,-345.831142
TSUHET.6,PSPSPT,-309.194328,-388.06472
TSUHET.7,PSPSPT,-294.574113,-368.323982
TSUHET.8,PSPSPT,-318.033088,-399.088063
ALNRUB.3,PSPSPT,-314.671857,-379.546787
ALNRUB.4,PSPSPT,-316.132284,-380.632495
ALNRUB.5,PSPSPT,-316.713112,-380.307395
ACECIR.3,PSPSPT,-178.423854,-226.622272
ACECIR.4,PSPSPT,-176.969415,-226.144058
ACECIR.5,PSPSPT,-175.66234,-224.529492
TSUHET.9,PSPSPT,-273.810954,-334.50106
TSUHET.10,PSPSPT,-273.97704,-334.777797
TSUHET.11,PSPSPT,-273.564044,-334.890712
TSUHET.12,PSPSPT,-117.737628,-159.972378
TSUHET.13,PSPSPT,-117.822604,-160.122691
TSUHET.14,PSPSPT,-116.973443,-159.298256
ACECIR.6,PSPSPT,-126.304582,-172.542024
ACECIR.7,PSPSPT,-124.688184,-170.301323
ACECIR.8,PSPSPT,-124.482963,-170.66571
TSUHET.15,PSPSPT,6.376252,3.886631
TSUHET.16,PSPSPT,4.859849,3.616887
TSUHET.17,PSPSPT,2.640036,1.86558
THUPLI.6,PSPSPT,-259.037883,-321.48967
THUPLI.7,PSPSPT,-257.648685,-320.883347
THUPLI.8,PSPSPT,-257.258137,-318.96055
