,Site,R1,R10,R11,R12,R13,R14,R15,R2,R3,R4,R5,R6,R7,R8,R9
ALNRUB,PSPST,88.815499,81.817963,87.060959,85.855774,89.161979,97.291932,87.07753,92.287133,95.507949,90.43103,89.488747,90.254921,95.956306,87.521592,59.717819
ALNRUB.1,PSPST,82.691727,71.187668,79.912911,76.534485,83.000946,95.691849,79.888496,87.672173,92.712386,85.103172,83.513695,84.267983,93.773796,80.926179,38.844024
ALNRUB.2,PSPST,85.59044,76.108093,83.142647,80.397964,85.891372,96.4842,83.330795,89.826615,94.028243,87.578301,86.190804,86.86467,94.750244,83.902154,49.292953
ACEMAC,PSPST,80.827087,66.328186,77.569,72.765274,80.745674,95.066574,77.564209,85.659875,91.690803,83.232254,81.354103,81.566147,93.398117,79.551842,34.689731
ACEMAC.1,PSPST,80.618729,65.95449,77.460159,73.195877,80.533699,94.872788,77.425247,85.482339,91.449135,83.096947,81.365334,81.58722,93.312134,79.735504,33.87133
ACEMAC.2,PSPST,80.704056,66.443061,77.562339,73.388023,80.665367,95.052078,77.435379,85.655816,91.774292,83.141114,81.435555,81.805878,93.502571,79.730416,34.070503
THUPLI,PSPST,81.338677,65.355011,77.812797,71.888641,81.01287,94.371148,78.441643,85.408554,90.310645,83.645668,81.771599,81.056015,92.436859,79.995811,35.785465
THUPLI.1,PSPST,82.45385,67.038986,79.06768,73.609711,82.104232,94.531075,79.874481,86.167442,90.595184,84.610451,82.876381,82.066711,92.84391,81.497185,40.103103
THUPLI.2,PSPST,84.909401,71.332939,82.03257,78.077972,84.609687,95.08191,82.644798,88.099487,91.650436,86.70755,85.392395,84.744575,93.596351,83.785354,47.025299
ALNRUB.3,PSPST,78.647454,61.810692,74.717667,67.762085,78.412078,94.427437,75.154876,83.737335,90.420318,81.345833,78.946793,78.66658,92.457603,77.097321,28.032123
ALNRUB.4,PSPST,79.733277,63.696541,75.985969,69.401908,79.506522,94.731499,76.398483,84.557007,90.945221,82.28701,79.999634,79.749062,92.844688,78.190712,31.619846
ALNRUB.5,PSPST,73.668564,52.4995,68.786674,58.06353,73.228126,93.075142,69.591766,79.596069,87.801803,77.223244,73.818047,72.857506,90.896614,72.693352,13.789329
ALNRUB.6,PSPST,87.679405,75.801246,85.016022,81.814018,87.313796,95.924668,86.266861,90.070343,93.10154,89.174782,87.834496,87.068771,95.231743,87.697549,59.514923
ALNRUB.7,PSPST,77.37262,58.685913,73.006485,65.370537,76.974708,93.67653,74.142593,82.482239,89.067879,80.269639,77.557526,76.870208,92.116341,76.831551,26.27798
ALNRUB.8,PSPST,86.80233,75.243255,84.11731,80.674415,86.570777,96.162629,84.959892,89.71447,93.48883,88.420708,86.953224,86.564514,95.289131,86.404267,56.285339
ALNRUB.9,PSPST,88.507782,79.438637,86.455605,85.606049,88.462936,96.75454,86.73732,91.483414,94.778938,89.867295,89.06408,89.38826,95.855354,88.053551,59.799064
ALNRUB.10,PSPST,87.024826,75.889801,84.615723,82.94294,86.848693,95.971925,85.214233,90.071602,93.359879,88.596711,87.555482,87.484169,95.016121,86.646301,55.221176
ALNRUB.11,PSPST,86.5747,76.096466,84.11538,82.262589,86.496505,96.344788,84.522697,89.994087,94.006569,88.189957,87.046815,87.306137,95.319977,86.116997,54.460319
ACEMAC.3,PSPST,84.352448,72.149842,81.448151,77.029686,84.193671,96.14129,81.784591,88.143547,93.457496,86.309769,84.574837,84.590057,94.901611,83.602478,48.196464
ACEMAC.4,PSPST,76.546242,58.764061,72.476433,64.712219,76.311851,94.224686,72.675941,82.217117,90.051315,79.682015,76.944581,76.820511,92.437653,75.693489,22.554161
ACEMAC.5,PSPST,71.116997,50.045479,66.381973,55.792091,70.876868,93.232964,66.167778,78.212845,88.252204,75.144051,71.611184,71.504143,91.05516,70.151909,4.777
THUPLI.3,PSPST,93.062798,88.586769,91.382645,91.504806,93.175094,97.456276,91.866661,95.26355,95.783188,93.461998,93.627808,93.873665,96.143555,91.312462,73.75457
THUPLI.4,PSPST,83.715225,69.904404,80.258057,75.758202,83.407775,94.720154,81.585449,87.303383,90.90963,85.574555,84.258805,83.432838,93.015953,83.165169,46.051414
THUPLI.5,PSPST,89.554718,79.88163,87.150833,85.455513,89.320381,96.013298,88.290428,91.799691,93.313354,90.56025,90.061615,89.436195,94.949127,88.790047,63.569542
ACEMAC.6,PSPST,73.288704,54.118393,68.94519,60.783325,73.184211,93.607407,68.595535,80.213822,89.023338,76.817535,73.7575,74.216751,91.414795,71.644616,10.438451
ACEMAC.7,PSPST,69.325454,48.100739,63.082954,51.414894,69.231079,93.290116,63.90853,77.459404,88.22686,72.608605,69.281944,70.187011,92.046753,68.42701,-0.186396
ACEMAC.8,PSPST,71.389343,50.670079,66.734932,57.426506,71.226013,93.087052,66.477988,78.658417,88.066124,75.273102,71.904457,72.121734,90.77195,70.011575,4.69577
ACEMAC.9,PSPST,93.91404,89.319351,92.635865,92.18354,93.928954,97.860802,92.979522,95.56559,96.431503,94.45189,94.280312,94.348099,97.125572,93.111283,78.246117
ACEMAC.10,PSPST,92.697678,87.032074,91.218514,90.240715,92.699905,97.738023,91.558212,94.603196,96.299385,93.418984,93.028847,93.08754,96.92334,91.956414,74.431069
ACEMAC.11,PSPST,86.361947,76.26432,83.985619,81.29631,86.368774,96.171075,84.089202,89.905602,93.631752,87.944771,87.005128,87.259049,95.094086,85.512704,52.721489
ALNRUB.12,PSPST,90.543876,83.100242,88.707871,88.759316,90.650275,96.993675,89.182975,93.188255,95.132911,91.546905,91.09906,91.365913,96.363968,90.135544,66.800476
ALNRUB.13,PSPST,89.499351,81.03389,87.567688,87.453453,89.579932,96.552948,88.0055,92.343292,94.392059,90.645279,90.150772,90.364303,95.859878,89.076927,63.054413
ALNRUB.14,PSPST,89.497871,82.154571,87.635208,87.974846,89.718925,96.995003,87.766166,92.689644,95.230331,90.592079,90.213387,90.869926,96.11219,88.782783,62.458442
ALNRUB.15,PSPST,94.157883,89.042839,92.852868,91.88047,94.119468,97.813935,93.347969,95.51947,96.327911,94.672959,94.478714,94.189758,97.190034,93.502892,79.243675
ALNRUB.16,PSPST,93.593728,88.505043,92.219552,92.479912,93.586128,97.923561,92.674201,95.356499,96.623329,94.211915,93.891434,94.061256,97.161858,92.986825,77.468285
ALNRUB.17,PSPST,83.671418,70.936928,80.680855,78.518906,83.594665,95.271889,81.309913,87.833931,92.231201,85.596184,84.422638,84.608284,94.058327,83.227578,44.33923
ACEMAC.12,PSPST,94.00573,89.553558,92.74865,92.302429,94.043258,97.799782,93.05384,95.671364,96.288574,94.513642,94.379341,94.458213,97.098786,93.159058,78.406005
