rowname,Site,PFD-FR,PFD-R
ALNRUB,PSPST,11.74036,-16.205152
ALNRUB.1,PSPST,-0.299444,-31.262246
ALNRUB.2,PSPST,22.920006,-18.704601
ACEMAC,PSPST,-170.531997,-273.014954
ACEMAC.1,PSPST,-183.668094,-278.126129
ACEMAC.2,PSPST,-184.136785,-277.69248
THUPLI,PSPST,-114.661797,-193.433588
THUPLI.1,PSPST,-116.76083,-193.549147
THUPLI.2,PSPST,-107.34425,-189.090414
ALNRUB.3,PSPST,-322.669666,-479.235428
ALNRUB.4,PSPST,-321.766609,-478.130408
ALNRUB.5,PSPST,-341.543348,-486.73426
ALNRUB.6,PSPST,-296.134819,-454.154486
ALNRUB.7,PSPST,-313.195881,-471.204862
ALNRUB.8,PSPST,-284.842118,-446.474514
ALNRUB.9,PSPST,-252.35704,-376.613121
ALNRUB.10,PSPST,-253.135651,-381.659623
ALNRUB.11,PSPST,-257.116978,-382.793901
ACEMAC.3,PSPST,-334.483944,-483.822615
ACEMAC.4,PSPST,-338.910318,-489.865867
ACEMAC.5,PSPST,-347.618849,-492.731409
THUPLI.3,PSPST,-70.264236,-145.500972
THUPLI.4,PSPST,-358.108538,-509.434536
THUPLI.5,PSPST,-350.259293,-498.462394
ACEMAC.6,PSPST,-262.60001,-413.961456
ACEMAC.7,PSPST,-266.882016,-416.455634
ACEMAC.8,PSPST,-271.732804,-418.468968
ACEMAC.9,PSPST,15.846244,-8.753292
ACEMAC.10,PSPST,-11.556984,-52.688457
ACEMAC.11,PSPST,-53.521851,-108.525892
ALNRUB.12,PSPST,-169.971841,-278.897329
ALNRUB.13,PSPST,-165.493901,-276.823568
ALNRUB.14,PSPST,-157.994206,-268.852804
ALNRUB.15,PSPST,179.031967,201.774814
ALNRUB.16,PSPST,-53.64058,-122.403103
ALNRUB.17,PSPST,-211.304726,-336.775576
ACEMAC.12,PSPST,262.035507,292.688725
ACEMAC.13,PSPST,-105.932129,-192.771237
ACEMAC.14,PSPST,-55.324166,-110.602596
ALNRUB.18,PSPST,-372.38327,-544.255224
ALNRUB.19,PSPST,-369.883774,-541.796815
ALNRUB.20,PSPST,-373.515698,-545.1454
THUPLI.6,PSPST,-132.558243,-240.978481
THUPLI.7,PSPST,-73.889282,-162.401089
THUPLI.8,PSPST,3.061569,-48.348415
ALNRUB.21,PSPST,-216.567109,-334.023481
ALNRUB.22,PSPST,-177.666787,-286.018757
ALNRUB.23,PSPST,-202.04691,-323.251972
ALNRUB.24,PSPST,-370.214126,-549.104401
ALNRUB.25,PSPST,-368.799755,-555.26226
ALNRUB.26,PSPST,-364.459678,-547.062397
ACEMAC.15,PSPST,-240.491101,-374.956711
ACEMAC.16,PSPST,-235.712181,-372.002205
ACEMAC.17,PSPST,-241.429379,-376.491015
THUPLI.9,PSPST,77.847778,46.257405
THUPLI.10,PSPST,-10.735527,-87.476737
THUPLI.11,PSPST,-0.979401,-81.201488
THUPLI.12,PSPST,-7.485464,-31.784936
THUPLI.13,PSPST,8.04084,-16.991922
THUPLI.14,PSPST,-0.648363,-22.170657
TSUHET,PSPST,-215.357229,-324.816686
TSUHET.1,PSPST,-208.081812,-315.50711
TSUHET.2,PSPST,-207.781798,-319.137466
ALNRUB.27,PSPST,4.355484,-23.210232
