"","PFD-B_SG1","PFD-FR_SG1","PFD-G_SG1","PFD-R_SG1","PFD-UV_SG1"
"BETPAP",3.614846,7.211831,4.584629,4.318727,0.367558
"BETPAP.1",2.877598,6.191157,3.679209,3.496752,0.290947
"BETPAP.2",0.878053999999999,4.057256,1.264022,1.080137,0.0967450000000001
"LONSOF.10",1.250972,3.269519,1.684716,1.636039,0.124142
"LONSOF.11",1.074603,3.012464,1.459717,1.517399,0.106288
"LONSOF.9",1.115824,3.129045,1.510895,1.441068,0.110965
"THUPLI.12",1.624874,3.545556,2.038337,1.973784,0.163813
"THUPLI.13",1.916903,4.059356,2.376316,2.268294,0.19648
"THUPLI.14",0.999818999999999,2.794217,1.271543,1.187918,0.105935
"THUPLI.19",0.957799999999999,2.048352,1.070541,0.973202000000001,0.111436
"THUPLI.20",1.081824,2.401758,1.229538,1.117084,0.124333
"THUPLI.21",0.938217000000002,2.177327,1.180838,1.1462,0.095801
"THUPLI.28",2.776737,5.10018,3.476089,3.414291,0.27551
"THUPLI.29",2.99786,5.328321,3.665556,3.585059,0.305202
"THUPLI.3",1.253632,3.342518,1.695722,1.627365,0.123574
"THUPLI.30",3.621459,5.843666,4.359691,4.24282,0.375284
"THUPLI.34",1.952863,4.631543,2.202941,1.94469,0.228376
"THUPLI.35",2.08564,4.421353,2.306008,2.031774,0.245015
"THUPLI.36",1.196002,3.196943,1.346767,1.178652,0.142636
"THUPLI.4",1.347819,3.468987,1.805726,1.742549,0.132438
"THUPLI.40",1.701751,4.344782,2.116415,1.995336,0.180193
"THUPLI.41",1.996281,4.982303,2.773628,2.844188,0.188705
"THUPLI.42",1.979634,3.748117,2.574965,2.560145,0.188087
"THUPLI.5",1.191841,3.12002,1.602814,1.544561,0.117275
"TSUHET",1.190718,2.648241,1.447771,1.371036,0.126832
"TSUHET.1",1.198661,2.353005,1.383229,1.293336,0.132659
"TSUHET.10",2.151353,4.409231,2.709975,2.639264,0.213937
"TSUHET.11",1.867068,4.129945,2.343889,2.265339,0.188903
"TSUHET.2",0.726721000000001,1.775033,0.892028,0.859843999999999,0.0777779999999999
"TSUHET.21",1.587445,3.852442,2.028919,1.971029,0.159422
"TSUHET.22",1.80258,3.822074,2.270566,2.218553,0.180367
"TSUHET.23",1.619061,3.628559,2.049383,1.997968,0.161904
"TSUHET.3",0.620813999999999,1.867377,0.815013,0.785029000000002,0.0635680000000001
"TSUHET.33",1.956247,3.992532,2.48217,2.441743,0.190909
"TSUHET.34",1.956957,4.185997,2.494612,2.463167,0.192473
"TSUHET.35",2.173157,4.579741,2.792103,2.763312,0.211239
"TSUHET.4",0.792503,2.024926,0.950029000000001,0.877922999999999,0.088587
"TSUHET.42",1.413868,3.244783,1.8578,1.841729,0.136065
"TSUHET.43",1.508078,3.395149,1.973313,1.961439,0.144991
"TSUHET.44",0.994900999999999,2.724797,1.341735,1.322412,0.096133
"TSUHET.48",2.119933,4.558307,2.762939,2.731873,0.202319
"TSUHET.49",2.121844,4.373338,2.747116,2.712878,0.203519
"TSUHET.5",0.594488999999999,1.789886,0.730779999999999,0.674659999999999,0.066578
"TSUHET.50",1.781507,3.953401,2.321495,2.28423,0.171547
"TSUHET.57",1.181569,2.94888,1.563779,1.552306,0.114638
"TSUHET.58",1.279807,3.012093,1.69643,1.676001,0.122683
"TSUHET.59",1.524353,3.363394,1.998057,1.976339,0.146111
"TSUHET.63",1.109892,2.301399,1.413029,1.37211,0.111777
"TSUHET.64",1.117601,2.415306,1.453471,1.425898,0.110461
"TSUHET.65",1.432272,3.152787,1.851368,1.794736,0.142481
"TSUHET.66",2.124991,3.963612,2.677496,2.616838,0.210559
"TSUHET.67",1.70728,3.53001,2.182189,2.128163,0.169101
"TSUHET.68",1.661751,3.484015,2.154624,2.103232,0.162664
"TSUHET.72",1.278928,3.141705,1.689621,1.629411,0.126465
"TSUHET.73",1.37491,3.270631,1.797418,1.729158,0.136998
"TSUHET.74",1.288435,3.190382,1.682659,1.612856,0.129444
"TSUHET.78",1.537673,3.875685,1.87521,1.795081,0.165533
"TSUHET.79",3.61627,6.776242,3.707294,3.154607,0.44923
"TSUHET.80",2.621394,5.3804,2.730112,2.312719,0.325247
"TSUHET.81",0.885411000000001,3.264263,1.141675,1.008669,0.101297
"TSUHET.82",1.299552,3.589761,1.524552,1.313484,0.154065
"TSUHET.83",1.624561,3.19767,1.907293,1.735726,0.180053
"TSUHET.84",1.602941,5.790816,2.101163,1.955143,0.166984
"TSUHET.85",1.372451,6.663875,1.792841,1.578717,0.155437
"TSUHET.86",0.909872,5.847623,1.193929,0.990808000000001,0.112564
"TSUHET.87",1.862529,4.823817,2.286202,2.13764,0.202446
"TSUHET.88",1.934345,4.202303,2.009048,1.672126,0.242394
"TSUHET.89",1.513225,4.316474,1.763767,1.549118,0.175921
"TSUHET.9",1.958364,4.150596,2.497482,2.451041,0.191024
"TSUHET.90",2.723114,7.991385,3.598828,3.402698,0.269702
"TSUHET.91",2.063516,3.845737,2.5156,2.405834,0.209536
"TSUHET.92",1.61288,4.478866,2.085414,1.964512,0.165958
"TSUHET.93",2.789119,5.249873,3.48046,3.405744,0.27677
"TSUHET.94",1.818579,4.029071,2.033586,1.829772,0.21108
"TSUHET.95",1.458564,3.059621,1.90918,1.910774,0.137748
