,Site,R1,R10,R11,R12,R13,R14,R15,R2,R3,R4,R5,R6,R7,R8,R9
POPTRI,PSPSFT,86.819023,77.654496,84.43261,83.573517,86.857361,96.520012,84.842918,90.596047,94.139107,88.377395,87.372933,87.959931,95.065193,86.21566,55.603542
POPTRI.1,PSPSFT,88.35057,80.91961,86.373505,86.619614,88.489762,97.113533,86.467308,91.952553,95.268456,89.715126,89.029839,89.943924,95.81607,87.695602,59.74337
POPTRI.2,PSPSFT,94.782867,93.469971,92.296509,91.669213,95.030007,99.411171,93.339638,97.170166,99.35347,93.69416,94.342552,96.158852,97.742751,93.935745,83.241348
ALNRUB,PSPSFT,96.765014,95.773667,96.087654,98.258293,96.965714,99.566903,96.035949,98.327889,99.418144,96.984269,96.975937,97.853928,98.543762,95.728553,87.625092
ALNRUB.1,PSPSFT,93.60704,90.219612,92.494957,93.892571,93.808358,98.737794,92.385795,95.945,98.049568,94.25705,94.012596,94.980919,97.797676,92.813423,76.902207
ALNRUB.2,PSPSFT,96.459678,94.914818,95.726494,97.561798,96.62423,99.457772,95.733856,97.986366,99.216851,96.76056,96.639397,97.40612,98.588066,95.635978,86.844704
ALNRUB.3,PSPSFT,97.603279,96.674584,97.073494,97.895913,97.742013,99.560715,96.995735,98.621598,99.263153,97.720054,97.83107,98.19986,98.58406,96.409553,90.030739
ALNRUB.4,PSPSFT,97.490005,96.467659,96.943207,97.722214,97.632294,99.566269,96.850967,98.537308,99.292778,97.621803,97.710479,98.092102,98.575225,96.298614,89.653687
ALNRUB.5,PSPSFT,95.882377,93.553803,95.111077,95.105431,96.014886,99.398674,94.938392,97.298981,99.047722,96.255867,96.069687,96.455566,98.159645,94.539527,84.398552
ACEMAC,PSPSFT,85.107413,75.319184,82.592849,80.545388,85.213021,96.615639,82.486541,89.385414,94.318436,86.919441,85.718926,86.454285,94.908782,83.968048,49.08044
ACEMAC.1,PSPSFT,87.256446,78.597214,85.038231,83.673249,87.338746,96.991997,85.030433,90.898918,94.950135,88.769547,87.777138,88.394699,95.426589,86.09581,55.935127
ACEMAC.2,PSPSFT,86.441756,77.477692,84.157554,82.483734,86.539506,96.918388,84.051848,90.342804,94.824097,88.090149,86.992981,87.69719,95.35482,85.378563,53.63652
ACEMAC.3,PSPSFT,88.155189,78.944657,85.842979,83.615448,88.084427,96.863686,86.201278,91.134513,94.584137,89.548797,88.499626,88.544319,95.325751,87.095947,59.066647
ACEMAC.4,PSPSFT,88.511359,79.533455,86.262482,83.974159,88.435524,96.982758,86.576492,91.366386,94.78505,89.878463,88.83989,88.865128,95.466689,87.457138,60.13353
ACEMAC.5,PSPSFT,90.277198,82.061577,88.32148,86.788757,90.150078,97.151085,88.815192,92.561218,95.071625,91.387649,90.58033,90.431084,95.894141,89.571251,66.50396
ALNRUB.6,PSPSFT,96.893684,95.600846,96.279663,97.958069,97.063584,99.513611,96.155891,98.247024,99.277,97.096458,97.114258,97.761383,98.388785,95.637238,87.673385
ALNRUB.7,PSPSFT,86.3712,76.322518,83.930748,81.924347,86.353692,96.429138,84.206436,89.978691,93.928101,88.010513,86.902024,87.18908,94.942496,85.576622,53.66766
ALNRUB.8,PSPSFT,97.51065,97.135072,96.970062,98.41478,97.739899,99.420967,96.836746,98.821472,99.004028,97.546059,97.795762,98.452309,98.423797,96.131592,89.563392
ALNRUB.9,PSPSFT,91.048691,87.016243,89.656868,91.297371,91.487053,98.300667,89.119788,94.503761,97.412362,91.926261,91.739747,93.229271,96.912857,89.642166,67.105736
ALNRUB.10,PSPSFT,92.730759,89.35392,91.56884,93.198159,93.101059,98.594834,91.179511,95.570526,97.817666,93.451316,93.255272,94.4729,97.404518,91.515235,73.332161
ALNRUB.11,PSPSFT,92.105522,88.635567,90.90889,92.735001,92.525963,98.507569,90.370551,95.22953,97.739739,92.874252,92.75261,94.159561,97.221282,90.776649,70.608795
ALNRUB.12,PSPSFT,91.893318,86.852601,90.499588,90.070854,92.047104,98.107766,90.328925,94.3974,96.869408,92.746322,92.372406,92.967888,97.068245,90.802604,70.812881
ALNRUB.13,PSPSFT,97.297897,96.246697,96.655723,97.689438,97.432282,99.453423,96.706756,98.433357,99.11586,97.414581,97.536232,97.958145,98.54084,96.224174,89.480117
