"","R1_CF1","R10_CF1","R11_CF1","R12_CF1","R13_CF1","R14_CF1","R15_CF1","R2_CF1","R3_CF1","R4_CF1","R5_CF1","R6_CF1","R7_CF1","R8_CF1","R9_CF1"
"THUPLI01",96.289528,94.069916,95.425522,95.217209,96.371452,99.093063,95.588631,97.479843,98.571526,96.619789,96.480034,96.636604,98.412643,95.568123,86.838821
"THUPLI01.1",95.428459,92.439842,94.414955,93.720741,95.488373,98.852348,94.602631,96.773636,98.108543,95.88884,95.609108,95.706764,98.159508,94.76281,84.215218
"THUPLI01.2",97.183235,95.502983,96.481941,96.546707,97.25531,99.266212,96.641373,98.113808,98.867943,97.407265,97.355835,97.467384,98.670601,96.511452,89.690887
"THUPLI02",96.382965,94.032265,95.524452,95.198898,96.438606,99.057861,95.733154,97.480522,98.476295,96.713852,96.546654,96.623726,98.43367,95.7416,87.262337
"THUPLI02.1",96.230003,93.836601,95.347488,94.9851,96.29438,99.047798,95.542999,97.385994,98.463707,96.581375,96.399902,96.502335,98.410965,95.579285,86.792831
"THUPLI02.2",97.167198,95.463051,96.460587,96.509262,97.240593,99.261253,96.616844,98.103905,98.851959,97.391685,97.337135,97.448181,98.650963,96.461861,89.564285
"THUPLI03",97.84375,96.680511,97.268562,97.617844,97.917892,99.425339,97.392326,98.627106,99.155739,97.980667,98.021049,98.140411,98.820053,97.10437,91.637405
"THUPLI04",97.439156,95.986382,96.797859,96.950455,97.51545,99.345352,96.924606,98.31852,99.010933,97.636749,97.609894,97.735649,98.747398,96.745804,90.487671
"THUPLI04.1",97.651237,96.310661,97.043373,97.299629,97.723747,99.373672,97.17485,98.471237,99.055954,97.814285,97.823799,97.937157,98.781059,96.93647,91.04921
"THUPLI04.2",97.108788,95.314705,96.403595,96.369377,97.176483,99.235802,96.516716,98.040283,98.807632,97.347694,97.27636,97.375626,98.579987,96.317497,89.160431
"THUPLI06",98.058098,97.212776,97.510811,98.019836,98.152023,99.493202,97.617233,98.838516,99.315788,98.148155,98.245697,98.412636,98.854263,97.251869,92.271103
"THUPLI06.1",95.634392,92.732811,94.612633,93.890022,95.679405,98.891258,94.872894,96.899475,98.17466,96.06665,95.790955,95.840698,98.228691,95.03286,85.080582
"THUPLI06.2",98.126091,97.225479,97.617729,98.030128,98.204521,99.498871,97.701881,98.847351,99.304153,98.234787,98.307274,98.434021,98.909546,97.383446,92.545784
"THUPLI07",98.00119,96.838058,97.444359,97.723526,98.057266,99.434959,97.595657,98.697655,99.159592,98.126602,98.157814,98.221886,98.875717,97.327545,92.282913
"THUPLI07.1",98.116753,97.13179,97.590607,97.975929,98.181953,99.478493,97.711174,98.816933,99.252167,98.222282,98.287796,98.382233,98.877663,97.376419,92.537941
"THUPLI07.2",98.393089,97.33033,97.886215,98.135979,98.409119,99.473099,98.090355,98.915749,99.206383,98.473526,98.533882,98.492638,98.948959,97.793213,93.717369
"THUPLI08",97.266487,95.260689,96.576752,96.33387,97.279022,99.182045,96.800911,98.031082,98.661049,97.512131,97.390152,97.345154,98.665741,96.738937,90.266426
"THUPLI08.1",97.401161,95.534988,96.732933,96.574936,97.420021,99.226837,96.951241,98.147163,98.747719,97.627121,97.525139,97.498901,98.728783,96.870041,90.658928
"THUPLI08.2",97.291656,95.321266,96.588562,96.37944,97.306892,99.191948,96.831833,98.058212,98.683083,97.527748,97.414185,97.373848,98.675926,96.752052,90.320084
"THUPLI09",97.428345,95.738266,96.771797,96.752792,97.473694,99.280701,96.946152,98.228615,98.862137,97.637726,97.567924,97.614731,98.755219,96.818817,90.55957
"THUPLI09.1",97.57061,95.955917,96.945511,96.93177,97.607971,99.308907,97.121582,98.319649,98.909821,97.772713,97.707962,97.732155,98.801277,96.999619,91.113106
"THUPLI09.2",96.893219,94.756126,96.124268,95.869026,96.926376,99.134476,96.351936,97.803711,98.593712,97.173134,97.03022,97.051888,98.598564,96.330566,89.014458
"THUPLI10",97.420074,95.6679,96.75592,96.684074,97.45517,99.261192,96.94931,98.20092,98.819931,97.633369,97.553818,97.573029,98.737473,96.829231,90.593773
"THUPLI10.1",97.509941,95.822304,96.862289,96.822876,97.545845,99.284065,97.055214,98.269043,98.860275,97.713989,97.641953,97.664482,98.780205,96.932266,90.886703
"THUPLI10.2",97.609673,95.934349,96.996964,96.933578,97.633194,99.288803,97.173248,98.316193,98.864738,97.809769,97.738777,97.72538,98.769417,97.035057,91.243927
"TSUHET02",96.511307,94.313301,95.690086,95.431526,96.57402,99.108589,95.864029,97.592789,98.577904,96.829178,96.684288,96.781235,98.472763,95.842606,87.6185
"TSUHET02.1",97.243546,95.548843,96.562286,96.545189,97.307426,99.271255,96.706177,98.132317,98.868408,97.475433,97.407326,97.490944,98.686623,96.57856,89.892792
"TSUHET02.2",97.563416,96.11084,96.952164,97.104279,97.629532,99.343048,97.075455,98.381744,98.996414,97.74855,97.731972,97.822487,98.752167,96.872711,90.844856
"TSUHET03",97.197998,95.476555,96.499863,96.521599,97.261963,99.256493,96.661613,98.105721,98.843452,97.423187,97.364487,97.456245,98.660568,96.525009,89.736839
"TSUHET03.1",97.562393,96.116028,96.951447,97.077011,97.626755,99.345314,97.072678,98.380028,99.002327,97.75013,97.731445,97.815308,98.736183,96.859566,90.848717
"TSUHET03.2",96.714569,94.556549,95.930664,95.669876,96.76413,99.125137,96.115456,97.710144,98.590401,97.016052,96.874863,96.927269,98.514091,96.07946,88.311653
"TSUHET04",97.448097,95.874603,96.794525,96.855392,97.505745,99.307823,96.958572,98.279648,98.928375,97.644318,97.607384,97.670105,98.696999,96.768661,90.577957
"TSUHET04.1",97.972687,96.845375,97.421341,97.764954,98.040314,99.44175,97.543282,98.703873,99.175179,98.096527,98.141632,98.239296,98.851295,97.240372,92.044098
"TSUHET04.2",97.853653,96.706558,97.299522,97.613976,97.929688,99.429405,97.392876,98.630402,99.167458,97.99633,98.033195,98.149757,98.813438,97.105507,91.667084
"TSUHET05",97.82164,96.515938,97.233467,97.460236,97.877739,99.392372,97.388649,98.563026,99.079269,97.970825,97.980232,98.049561,98.833771,97.152397,91.692421
"TSUHET05.1",98.033844,96.986992,97.498062,97.862122,98.10347,99.464439,97.612427,98.756989,99.223732,98.154251,98.205826,98.308678,98.880966,97.316376,92.28817
"TSUHET05.2",97.637215,96.232529,97.022842,97.183296,97.700546,99.360664,97.163719,98.434967,99.028419,97.811882,97.800842,97.884888,98.777718,96.951469,91.107986
"TSUHET06",97.311569,95.566635,96.612045,96.560875,97.356659,99.257713,96.824104,98.150284,98.830711,97.532845,97.461754,97.491119,98.685669,96.698814,90.272652
"TSUHET06.1",97.743355,96.601059,97.160606,97.47065,97.83078,99.429596,97.254883,98.575554,99.182854,97.892349,97.922226,98.074692,98.805565,96.981102,91.334969
"TSUHET06.2",97.410339,95.677498,96.714027,96.658752,97.444107,99.259377,96.949867,98.203041,98.830528,97.615524,97.555183,97.549072,98.667076,96.792068,90.613121
