"","R1_PL1","R10_PL1","R11_PL1","R12_PL1","R13_PL1","R14_PL1","R15_PL1","R2_PL1","R3_PL1","R4_PL1","R5_PL1","R6_PL1","R7_PL1","R8_PL1","R9_PL1"
"LONSOF01",97.720352,96.213577,97.105881,97.177475,97.763023,99.340149,97.289001,98.439224,98.963921,97.891304,97.852264,97.885414,98.838669,97.118767,91.490829
"LONSOF01.1",97.699593,96.197113,97.089302,97.160225,97.74366,99.342033,97.262581,98.42981,98.970406,97.877823,97.837967,97.873344,98.828926,97.093979,91.424675
"LONSOF01.2",97.888168,96.501747,97.311867,97.442146,97.929031,99.381378,97.480644,98.565331,99.035469,98.039207,98.019554,98.053307,98.890259,97.284843,92.004051
"LONSOF03",98.664345,98.340858,98.221466,99.072075,98.772026,99.645668,98.302414,99.331924,99.530197,98.659729,98.858582,99.062691,99.014656,97.795135,93.911972
"LONSOF03.1",98.026459,97.149353,97.471527,98.122108,98.128868,99.499352,97.582024,98.837006,99.288124,98.103264,98.218842,98.417282,98.83889,97.177437,91.957062
"LONSOF03.2",98.009949,97.132141,97.45282,98.087135,98.117538,99.504501,97.558891,98.829659,99.296494,98.087845,98.197182,98.408684,98.858437,97.176041,91.925377
"LONSOF06",98.487198,97.863968,98.005943,98.702721,98.571999,99.591904,98.13279,99.144989,99.435463,98.515656,98.655113,98.816185,99.017761,97.718376,93.555336
"LONSOF06.1",98.119141,97.252693,97.581985,98.188049,98.220551,99.519768,97.686386,98.887527,99.311989,98.191833,98.292282,98.484619,98.912933,97.307129,92.26915
"LONSOF06.2",98.768852,98.240112,98.329025,99.001205,98.830559,99.634499,98.476349,99.308441,99.489105,98.774246,98.921997,99.020821,99.104301,98.050568,94.536186
"LONSOF08.3",98.020073,97.092735,97.485397,98.054192,98.118797,99.504028,97.580536,98.809593,99.288322,98.111885,98.194542,98.396965,98.92614,97.270844,92.110512
"LONSOF08.4",99.023849,98.610016,98.658234,99.234589,99.069397,99.684166,98.765854,99.459747,99.559517,99.018288,99.170113,99.229042,99.184677,98.336067,95.393089
"LONSOF08.5",98.562904,97.948578,98.146172,98.775665,98.657684,99.61676,98.1912,99.18824,99.457878,98.605972,98.719933,98.883537,99.064384,97.795006,93.717735
"LONSOF10.3",99.124763,98.817154,98.774132,99.351624,99.167969,99.716202,98.875801,99.540115,99.608185,99.108086,99.275749,99.333031,99.211205,98.416321,95.64888
"LONSOF10.4",98.402748,97.677185,97.932549,98.549889,98.489281,99.57267,98.030159,99.067024,99.394707,98.457176,98.565765,98.723679,99.024315,97.668335,93.318253
"LONSOF10.5",99.207497,98.914925,98.855125,99.372826,99.237801,99.725029,98.986725,99.576797,99.622421,99.181877,99.347946,99.378212,99.257202,98.550072,96.037964
"LONSOF16",98.740875,98.133926,98.292656,98.917,98.796829,99.616249,98.451523,99.268913,99.455963,98.752769,98.885643,98.971237,99.106133,98.038094,94.469116
"LONSOF16.1",98.110252,97.068542,97.565804,98.01992,98.183937,99.479851,97.710014,98.815964,99.225731,98.20208,98.258606,98.391708,98.951668,97.397705,92.440559
"LONSOF16.2",98.719162,98.052917,98.275696,98.836899,98.769592,99.606361,98.436066,99.234909,99.435921,98.744621,98.854538,98.930099,99.136551,98.07531,94.522293
"LONSOF20",99.720345,99.444801,99.441696,98.943199,99.55191,99.82782,99.631622,99.635872,99.715858,99.698677,99.77552,99.547256,99.436546,99.289017,98.357506
"LONSOF20.1",99.227211,98.908073,98.861954,99.349335,99.246719,99.717072,99.017929,99.57383,99.610573,99.19471,99.362236,99.373856,99.259506,98.586548,96.162346
"LONSOF20.2",99.708267,99.468788,99.418465,98.997025,99.558205,99.819221,99.602379,99.657562,99.710625,99.667427,99.791557,99.567612,99.415863,99.223274,98.162415
"LONSOF33",99.708267,99.468788,99.418465,98.997025,99.558205,99.819221,99.602379,99.657562,99.710625,99.667427,99.791557,99.567612,99.415863,99.223274,98.162415
"LONSOF33.1",99.687721,99.288651,99.473457,98.723534,99.491035,99.831696,99.626762,99.551735,99.693954,99.726486,99.682648,99.467865,99.469086,99.448296,98.873421
"LONSOF33.2",99.703705,99.344101,99.456329,98.779678,99.512093,99.83007,99.638229,99.577011,99.693306,99.719131,99.719505,99.486366,99.44088,99.363434,98.617752
"LONSOF38",99.665726,99.478333,99.364662,99.081299,99.552719,99.812416,99.537132,99.681412,99.706711,99.611961,99.778511,99.579659,99.381798,99.102585,97.789513
"LONSOF38.1",95.804062,93.513664,95.048225,92.717316,95.507652,99.365135,95.693863,96.710556,98.737419,96.170746,95.763275,95.663002,99.034378,98.678734,94.95919
"LONSOF38.2",97.701065,96.411873,97.081276,97.435966,97.783394,99.39653,97.229439,98.528542,99.086563,97.838051,97.858482,98.015549,98.831619,96.966919,91.120918
"LONSOF39",98.229935,97.262604,97.694878,98.177513,98.299782,99.503746,97.848869,98.900208,99.26783,98.304611,98.37471,98.492661,98.967461,97.502876,92.801704
"LONSOF39.1",98.951859,98.513382,98.57283,99.178139,99.007057,99.677872,98.685524,99.421753,99.553558,98.954704,99.096718,99.178055,99.189148,98.281029,95.215591
"LONSOF39.2",99.684219,99.279793,99.461716,98.687263,99.486763,99.835098,99.628151,99.546814,99.68998,99.724396,99.677505,99.452507,99.451355,99.41156,98.770729
"LONSOF41",99.630211,99.504967,99.326263,99.111847,99.552017,99.808815,99.492134,99.702858,99.699181,99.575577,99.760635,99.599266,99.369987,99.035851,97.602692
