"","R1_SG2","R10_SG2","R11_SG2","R12_SG2","R13_SG2","R14_SG2","R15_SG2","R2_SG2","R3_SG2","R4_SG2","R5_SG2","R6_SG2","R7_SG2","R8_SG2","R9_SG2"
"LONSOF01.12",98.03775,96.782478,97.497169,97.820503,98.075905,99.399323,97.687088,98.693413,99.074402,98.164291,98.200249,98.214134,98.861313,97.468536,92.634865
"LONSOF01.13",98.055122,98.13472,97.557625,98.889366,98.275475,99.512115,97.469162,99.174667,99.357094,98.016777,98.35804,98.926727,98.638763,96.804291,91.670357
"LONSOF01.14",97.5131,96.643547,96.93364,97.606384,97.664124,99.462418,96.914696,98.573952,99.288704,97.638214,97.756302,98.110657,98.660606,96.535645,90.27092
"LONSOF02",97.92894,96.067703,97.362984,97.387749,97.888824,99.175301,97.628891,98.437393,98.647713,98.066933,98.062485,97.875458,98.681175,97.453209,92.416023
"LONSOF02.1",98.900887,99.457283,98.546501,99.488548,99.10952,99.529221,98.458488,99.722565,99.264389,98.764938,99.18264,99.585709,98.875938,97.737244,94.306831
"LONSOF02.2",98.039925,97.926071,97.627647,98.668854,98.25386,99.565208,97.399834,99.091347,99.463097,98.062851,98.313797,98.841461,98.760025,96.884163,91.485939
"LONSOF03.3",98.066124,96.6334,97.492661,97.730736,98.078842,99.339111,97.729515,98.656509,98.951805,98.176849,98.2071,98.148178,98.80294,97.463882,92.59465
"LONSOF03.4",96.500595,94.31163,95.639771,95.541893,96.57618,99.090477,95.868004,97.621094,98.545204,96.782623,96.675629,96.787292,98.379799,95.757973,87.527626
"LONSOF03.5",96.563957,94.254509,95.714622,95.56662,96.611382,99.044228,95.99646,97.608047,98.45047,96.855705,96.736328,96.766701,98.38282,95.938042,87.95417
"LONSOF04.3",96.708992,94.778435,95.962318,96.017296,96.797287,99.17318,96.07338,97.808876,98.704697,96.98262,96.912216,97.074982,98.44593,95.929314,88.060081
"LONSOF04.4",99.184753,98.807602,98.818222,99.251335,99.173668,99.679832,98.994698,99.511368,99.553398,99.161713,99.344307,99.294975,99.19397,98.593849,96.242874
"LONSOF04.5",97.901955,96.35952,97.333801,97.529076,97.915619,99.29866,97.549934,98.533981,98.881866,98.044281,98.053314,98.001801,98.762474,97.344131,92.204529
"LONSOF05",99.045555,98.504692,98.667107,99.131187,99.040359,99.635925,98.832657,99.40416,99.475128,99.041542,99.201202,99.151749,99.137131,98.446259,95.755936
"LONSOF05.1",98.721832,97.616516,98.280167,98.524017,98.675026,99.458618,98.506165,99.060753,99.147835,98.747147,98.849991,98.692284,98.972603,98.216667,94.968063
"LONSOF05.2",98.974327,98.528625,98.589661,99.13784,98.99826,99.647636,98.735474,99.407295,99.513496,98.974258,99.142799,99.159584,99.130066,98.339684,95.475494
"LONSOF06.3",99.228394,98.504433,98.860291,99.088882,99.14045,99.59536,99.067635,99.405571,99.383385,99.180984,99.355995,99.157822,99.152412,98.73645,96.621323
"LONSOF06.4",98.644287,97.303764,98.189362,98.324722,98.575165,99.373314,98.44928,98.94545,98.988976,98.678589,98.759079,98.533096,98.922249,98.214836,94.892487
"LONSOF06.5",98.811584,98.094994,98.402725,98.864426,98.821762,99.580498,98.568245,99.243622,99.384727,98.839478,98.965561,98.936928,99.075623,98.222977,95.040779
"LONSOF07.3",96.711487,94.60379,95.899414,95.79213,96.768631,99.122528,96.144165,97.742775,98.596085,96.988174,96.884613,96.948181,98.464043,96.068657,88.396912
"LONSOF07.4",98.578644,97.668182,98.113228,98.545708,98.596832,99.516068,98.311844,99.073235,99.271584,98.631332,98.728661,98.702034,99.005737,97.997818,94.320641
"LONSOF07.5",98.745316,98.052757,98.317062,98.831848,98.768951,99.577408,98.481735,99.222969,99.388351,98.772125,98.908928,98.90815,99.03553,98.10714,94.743866
"LONSOF08.6",98.607941,97.269897,98.129211,98.287529,98.547798,99.373222,98.411331,98.932625,98.99028,98.646584,98.722069,98.509262,98.924156,98.171509,94.751205
"LONSOF08.7",98.734215,97.476273,98.270309,98.458733,98.664833,99.400375,98.555077,99.01841,99.037392,98.744904,98.843399,98.62159,98.955452,98.28772,95.144119
"LONSOF08.8",98.674995,97.38327,98.171692,98.345695,98.612938,99.392372,98.510986,98.980698,99.021568,98.693855,98.774353,98.556602,98.972694,98.284431,95.109749
"LONSOF09.6",98.819023,97.62104,98.358109,98.54808,98.747673,99.425934,98.658607,99.078949,99.080025,98.823845,98.922264,98.694962,99.01136,98.408455,95.497986
"LONSOF09.7",98.500305,97.642548,98.013977,98.478233,98.537796,99.526627,98.218597,99.051498,99.307465,98.558174,98.658493,98.674416,99.003036,97.909241,94.105247
"LONSOF09.8",99.178772,98.670013,98.805435,99.180656,99.144623,99.650604,98.99398,99.464043,99.497643,99.152153,99.328575,99.232384,99.172653,98.613029,96.281281
