Species,Site,Variable,Value
ALNRUB,PSPST,Time,2019/08/14_10:03:42
ALNRUB,PSPST,LUX,3936.328613
ALNRUB,PSPST,fc,365.829803
ALNRUB,PSPST,CCT,5966
ALNRUB,PSPST,Duv,0.005305
ALNRUB,PSPST,I-Time,170
ALNRUB,PSPST,x,0.32208
ALNRUB,PSPST,y,0.342164
ALNRUB,PSPST,u',0.199375
ALNRUB,PSPST,v',0.476566
ALNRUB,PSPST,deltax,-0.000663
ALNRUB,PSPST,deltay,0.00978
ALNRUB,PSPST,deltau',-0.004148
ALNRUB,PSPST,deltav',0.004959
ALNRUB,PSPST,LambdaP,780
ALNRUB,PSPST,LambdaPV,103.498199
ALNRUB,PSPST,LambdaD,502
ALNRUB,PSPST,Purity,3.446136
ALNRUB,PSPST,IRR,21.740622
ALNRUB,PSPST,CRI,95.290138
ALNRUB,PSPST,R1,94.172203
ALNRUB,PSPST,R2,95.950203
ALNRUB,PSPST,R3,97.599388
ALNRUB,PSPST,R4,94.744743
ALNRUB,PSPST,R5,94.465111
ALNRUB,PSPST,R6,94.810722
ALNRUB,PSPST,R7,97.59848
ALNRUB,PSPST,R8,92.980202
ALNRUB,PSPST,R9,78.549965
ALNRUB,PSPST,R10,90.433495
ALNRUB,PSPST,R11,93.070541
ALNRUB,PSPST,R12,92.516617
ALNRUB,PSPST,R13,94.262733
ALNRUB,PSPST,R14,98.524361
ALNRUB,PSPST,R15,93.00705
ALNRUB,PSPST,PPFD,68.444763
ALNRUB,PSPST,PFD,108.497261
ALNRUB,PSPST,PFD-UV,2.009344
ALNRUB,PSPST,PFD-B,19.761959
ALNRUB,PSPST,PFD-G,25.561831
ALNRUB,PSPST,PFD-R,23.597166
ALNRUB,PSPST,PFD-FR,38.45866
ALNRUB,PSPST,380nm,24.76404
ALNRUB,PSPST,381nm,24.943169
ALNRUB,PSPST,382nm,25.116632
ALNRUB,PSPST,383nm,25.232281
ALNRUB,PSPST,384nm,25.264471
ALNRUB,PSPST,385nm,25.570862
ALNRUB,PSPST,386nm,26.110365
ALNRUB,PSPST,387nm,26.318926
ALNRUB,PSPST,388nm,26.365845
ALNRUB,PSPST,389nm,26.836212
ALNRUB,PSPST,390nm,27.410223
ALNRUB,PSPST,391nm,27.560762
ALNRUB,PSPST,392nm,27.736765
ALNRUB,PSPST,393nm,28.681349
ALNRUB,PSPST,394nm,29.712576
ALNRUB,PSPST,395nm,31.093332
ALNRUB,PSPST,396nm,32.418282
ALNRUB,PSPST,397nm,33.630405
ALNRUB,PSPST,398nm,35.149658
ALNRUB,PSPST,399nm,37.024681
ALNRUB,PSPST,400nm,38.697865
ALNRUB,PSPST,401nm,40.234272
ALNRUB,PSPST,402nm,41.837387
ALNRUB,PSPST,403nm,43.465294
ALNRUB,PSPST,404nm,44.22636
ALNRUB,PSPST,405nm,44.849152
ALNRUB,PSPST,406nm,45.063408
ALNRUB,PSPST,407nm,45.260986
ALNRUB,PSPST,408nm,45.357769
ALNRUB,PSPST,409nm,45.498817
ALNRUB,PSPST,410nm,45.762787
ALNRUB,PSPST,411nm,46.090328
ALNRUB,PSPST,412nm,46.513367
ALNRUB,PSPST,413nm,46.809708
ALNRUB,PSPST,414nm,46.99593
ALNRUB,PSPST,415nm,47.235554
ALNRUB,PSPST,416nm,47.501369
ALNRUB,PSPST,417nm,47.513477
ALNRUB,PSPST,418nm,47.464981
ALNRUB,PSPST,419nm,47.361423
ALNRUB,PSPST,420nm,47.252075
ALNRUB,PSPST,421nm,47.114212
ALNRUB,PSPST,422nm,46.940678
ALNRUB,PSPST,423nm,46.640266
ALNRUB,PSPST,424nm,46.194763
ALNRUB,PSPST,425nm,45.489025
ALNRUB,PSPST,426nm,44.934784
ALNRUB,PSPST,427nm,44.533783
ALNRUB,PSPST,428nm,44.390232
ALNRUB,PSPST,429nm,44.393425
ALNRUB,PSPST,430nm,44.548637
ALNRUB,PSPST,431nm,44.747372
ALNRUB,PSPST,432nm,45.106285
ALNRUB,PSPST,433nm,45.485954
ALNRUB,PSPST,434nm,45.967632
ALNRUB,PSPST,435nm,46.597229
ALNRUB,PSPST,436nm,47.808243
ALNRUB,PSPST,437nm,48.850433
ALNRUB,PSPST,438nm,49.573612
ALNRUB,PSPST,439nm,50.243191
ALNRUB,PSPST,440nm,50.857018
ALNRUB,PSPST,441nm,51.352661
ALNRUB,PSPST,442nm,51.780338
ALNRUB,PSPST,443nm,52.480808
ALNRUB,PSPST,444nm,53.257999
ALNRUB,PSPST,445nm,54.128757
ALNRUB,PSPST,446nm,54.972343
ALNRUB,PSPST,447nm,55.384567
ALNRUB,PSPST,448nm,55.756325
ALNRUB,PSPST,449nm,55.986462
ALNRUB,PSPST,450nm,56.282215
ALNRUB,PSPST,451nm,56.68911
ALNRUB,PSPST,452nm,57.026009
ALNRUB,PSPST,453nm,57.298565
ALNRUB,PSPST,454nm,57.40609
ALNRUB,PSPST,455nm,57.433002
ALNRUB,PSPST,456nm,57.391762
ALNRUB,PSPST,457nm,57.335918
ALNRUB,PSPST,458nm,57.409695
ALNRUB,PSPST,459nm,57.480728
ALNRUB,PSPST,460nm,57.512215
ALNRUB,PSPST,461nm,57.484852
ALNRUB,PSPST,462nm,57.309376
ALNRUB,PSPST,463nm,57.129025
ALNRUB,PSPST,464nm,56.942474
ALNRUB,PSPST,465nm,56.78331
ALNRUB,PSPST,466nm,56.64267
ALNRUB,PSPST,467nm,56.470856
ALNRUB,PSPST,468nm,56.288891
ALNRUB,PSPST,469nm,56.177639
ALNRUB,PSPST,470nm,56.083599
ALNRUB,PSPST,471nm,56.123203
ALNRUB,PSPST,472nm,56.17902
ALNRUB,PSPST,473nm,56.288071
ALNRUB,PSPST,474nm,56.422092
ALNRUB,PSPST,475nm,56.594299
ALNRUB,PSPST,476nm,56.714272
ALNRUB,PSPST,477nm,56.792927
ALNRUB,PSPST,478nm,56.693661
ALNRUB,PSPST,479nm,56.526062
ALNRUB,PSPST,480nm,56.109497
ALNRUB,PSPST,481nm,55.665016
ALNRUB,PSPST,482nm,55.282249
ALNRUB,PSPST,483nm,54.927853
ALNRUB,PSPST,484nm,54.672905
ALNRUB,PSPST,485nm,54.405434
ALNRUB,PSPST,486nm,54.118435
ALNRUB,PSPST,487nm,53.881172
ALNRUB,PSPST,488nm,53.68285
ALNRUB,PSPST,489nm,53.63216
ALNRUB,PSPST,490nm,53.635498
ALNRUB,PSPST,491nm,53.91642
ALNRUB,PSPST,492nm,54.219948
ALNRUB,PSPST,493nm,54.444607
ALNRUB,PSPST,494nm,54.587086
ALNRUB,PSPST,495nm,54.487225
ALNRUB,PSPST,496nm,54.381702
ALNRUB,PSPST,497nm,54.268661
ALNRUB,PSPST,498nm,54.137295
ALNRUB,PSPST,499nm,53.994064
ALNRUB,PSPST,500nm,53.886395
ALNRUB,PSPST,501nm,53.788414
ALNRUB,PSPST,502nm,53.712238
ALNRUB,PSPST,503nm,53.653568
ALNRUB,PSPST,504nm,53.691593
ALNRUB,PSPST,505nm,53.763691
ALNRUB,PSPST,506nm,53.904846
ALNRUB,PSPST,507nm,54.024006
ALNRUB,PSPST,508nm,54.122414
ALNRUB,PSPST,509nm,54.134235
ALNRUB,PSPST,510nm,54.108978
ALNRUB,PSPST,511nm,53.916191
ALNRUB,PSPST,512nm,53.705029
ALNRUB,PSPST,513nm,53.529682
ALNRUB,PSPST,514nm,53.403858
ALNRUB,PSPST,515nm,53.415283
ALNRUB,PSPST,516nm,53.467678
ALNRUB,PSPST,517nm,53.568867
ALNRUB,PSPST,518nm,53.749153
ALNRUB,PSPST,519nm,53.972237
ALNRUB,PSPST,520nm,54.228607
ALNRUB,PSPST,521nm,54.499809
ALNRUB,PSPST,522nm,54.986668
ALNRUB,PSPST,523nm,55.487934
ALNRUB,PSPST,524nm,56.035961
ALNRUB,PSPST,525nm,56.518833
ALNRUB,PSPST,526nm,56.916733
ALNRUB,PSPST,527nm,57.242668
ALNRUB,PSPST,528nm,57.527046
ALNRUB,PSPST,529nm,57.7477
ALNRUB,PSPST,530nm,57.959194
ALNRUB,PSPST,531nm,58.256714
ALNRUB,PSPST,532nm,58.527073
ALNRUB,PSPST,533nm,58.712711
ALNRUB,PSPST,534nm,58.824684
ALNRUB,PSPST,535nm,58.846138
ALNRUB,PSPST,536nm,58.831799
ALNRUB,PSPST,537nm,58.798698
ALNRUB,PSPST,538nm,58.805695
ALNRUB,PSPST,539nm,58.81826
ALNRUB,PSPST,540nm,58.822456
ALNRUB,PSPST,541nm,58.812107
ALNRUB,PSPST,542nm,58.765781
ALNRUB,PSPST,543nm,58.752197
ALNRUB,PSPST,544nm,58.771095
ALNRUB,PSPST,545nm,58.838379
ALNRUB,PSPST,546nm,58.92474
ALNRUB,PSPST,547nm,59.014172
ALNRUB,PSPST,548nm,59.093273
ALNRUB,PSPST,549nm,59.114029
ALNRUB,PSPST,550nm,59.104588
ALNRUB,PSPST,551nm,59.044434
ALNRUB,PSPST,552nm,58.951633
ALNRUB,PSPST,553nm,58.836601
ALNRUB,PSPST,554nm,58.692501
ALNRUB,PSPST,555nm,58.539886
ALNRUB,PSPST,556nm,58.342068
ALNRUB,PSPST,557nm,58.151379
ALNRUB,PSPST,558nm,57.979893
ALNRUB,PSPST,559nm,57.746914
ALNRUB,PSPST,560nm,57.45219
ALNRUB,PSPST,561nm,57.179794
ALNRUB,PSPST,562nm,56.915695
ALNRUB,PSPST,563nm,56.639614
ALNRUB,PSPST,564nm,56.36002
ALNRUB,PSPST,565nm,56.067848
ALNRUB,PSPST,566nm,55.775497
ALNRUB,PSPST,567nm,55.482903
ALNRUB,PSPST,568nm,55.212791
ALNRUB,PSPST,569nm,54.953911
ALNRUB,PSPST,570nm,54.680077
ALNRUB,PSPST,571nm,54.415035
ALNRUB,PSPST,572nm,54.210453
ALNRUB,PSPST,573nm,54.025372
ALNRUB,PSPST,574nm,53.870975
ALNRUB,PSPST,575nm,53.759674
ALNRUB,PSPST,576nm,53.673401
ALNRUB,PSPST,577nm,53.609047
ALNRUB,PSPST,578nm,53.542416
ALNRUB,PSPST,579nm,53.438812
ALNRUB,PSPST,580nm,53.313934
ALNRUB,PSPST,581nm,53.153603
ALNRUB,PSPST,582nm,52.924068
ALNRUB,PSPST,583nm,52.653206
ALNRUB,PSPST,584nm,52.288231
ALNRUB,PSPST,585nm,51.903461
ALNRUB,PSPST,586nm,51.474342
ALNRUB,PSPST,587nm,51.048378
ALNRUB,PSPST,588nm,50.627346
ALNRUB,PSPST,589nm,50.25145
ALNRUB,PSPST,590nm,49.900009
ALNRUB,PSPST,591nm,49.61375
ALNRUB,PSPST,592nm,49.369114
ALNRUB,PSPST,593nm,49.294662
ALNRUB,PSPST,594nm,49.296669
ALNRUB,PSPST,595nm,49.398102
ALNRUB,PSPST,596nm,49.507526
ALNRUB,PSPST,597nm,49.620369
ALNRUB,PSPST,598nm,49.731449
ALNRUB,PSPST,599nm,49.830776
ALNRUB,PSPST,600nm,49.892559
ALNRUB,PSPST,601nm,49.945694
ALNRUB,PSPST,602nm,49.990479
ALNRUB,PSPST,603nm,49.955097
ALNRUB,PSPST,604nm,49.897118
ALNRUB,PSPST,605nm,49.834728
ALNRUB,PSPST,606nm,49.746243
ALNRUB,PSPST,607nm,49.605766
ALNRUB,PSPST,608nm,49.428558
ALNRUB,PSPST,609nm,49.228172
ALNRUB,PSPST,610nm,48.944183
ALNRUB,PSPST,611nm,48.663563
ALNRUB,PSPST,612nm,48.444649
ALNRUB,PSPST,613nm,48.242516
ALNRUB,PSPST,614nm,48.059956
ALNRUB,PSPST,615nm,47.861069
ALNRUB,PSPST,616nm,47.658405
ALNRUB,PSPST,617nm,47.500374
ALNRUB,PSPST,618nm,47.331715
ALNRUB,PSPST,619nm,47.141251
ALNRUB,PSPST,620nm,46.965069
ALNRUB,PSPST,621nm,46.797626
ALNRUB,PSPST,622nm,46.573528
ALNRUB,PSPST,623nm,46.336876
ALNRUB,PSPST,624nm,46.073074
ALNRUB,PSPST,625nm,45.825111
ALNRUB,PSPST,626nm,45.592377
ALNRUB,PSPST,627nm,45.410187
ALNRUB,PSPST,628nm,45.248898
ALNRUB,PSPST,629nm,45.158966
ALNRUB,PSPST,630nm,45.089039
ALNRUB,PSPST,631nm,45.047009
ALNRUB,PSPST,632nm,45.049717
ALNRUB,PSPST,633nm,45.069073
ALNRUB,PSPST,634nm,45.077206
ALNRUB,PSPST,635nm,45.077305
ALNRUB,PSPST,636nm,45.062057
ALNRUB,PSPST,637nm,44.985897
ALNRUB,PSPST,638nm,44.877857
ALNRUB,PSPST,639nm,44.73753
ALNRUB,PSPST,640nm,44.556629
ALNRUB,PSPST,641nm,44.277832
ALNRUB,PSPST,642nm,43.968212
ALNRUB,PSPST,643nm,43.638641
ALNRUB,PSPST,644nm,43.293262
ALNRUB,PSPST,645nm,42.958115
ALNRUB,PSPST,646nm,42.657097
ALNRUB,PSPST,647nm,42.32901
ALNRUB,PSPST,648nm,41.981049
ALNRUB,PSPST,649nm,41.622433
ALNRUB,PSPST,650nm,41.260159
ALNRUB,PSPST,651nm,40.88958
ALNRUB,PSPST,652nm,40.602795
ALNRUB,PSPST,653nm,40.380535
ALNRUB,PSPST,654nm,40.309162
ALNRUB,PSPST,655nm,40.262817
ALNRUB,PSPST,656nm,40.242626
ALNRUB,PSPST,657nm,40.218269
ALNRUB,PSPST,658nm,40.190807
ALNRUB,PSPST,659nm,40.203644
ALNRUB,PSPST,660nm,40.24725
ALNRUB,PSPST,661nm,40.369415
ALNRUB,PSPST,662nm,40.49144
ALNRUB,PSPST,663nm,40.613373
ALNRUB,PSPST,664nm,40.631565
ALNRUB,PSPST,665nm,40.605598
ALNRUB,PSPST,666nm,40.488316
ALNRUB,PSPST,667nm,40.373386
ALNRUB,PSPST,668nm,40.259747
ALNRUB,PSPST,669nm,40.137295
