"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",2.08099844650857,14.970817922041,0.139003657471833,0.889526301740848
"siteMF1",12.0551470372155,6.96514813319034,1.73078114157691,0.0843621920435978
"sitePL1",38.4261977522201,7.11382840170691,5.40161999732802,1.21441631550846e-07
"siteSF1",100.929960224475,10.1605224726186,9.93354037614394,1.12973334780787e-20
"siteSG1",0.375834220158047,4.92328010713425,0.0763381753586255,0.939193179203123
"siteSG2",12.2051460206597,5.59719491791996,2.18058263105752,0.0298722277337242
"specieslatbiLONSOF",-6.98050634020931,15.1385036562184,-0.46110940015805,0.645003291050362
"specieslatbiPICGLA",-4.72102758862998,15.8995858485448,-0.296927708281286,0.766695847315772
"specieslatbiPINCON",3.36910175107545,16.5386480283445,0.203710832064469,0.838696529150918
"specieslatbiTHUPLI",0.301217531477415,14.7839125350413,0.0203746830051558,0.983755958686412
"specieslatbiTSUHET",-0.859724304822923,14.4763934005763,-0.0593880175146869,0.952676567631626
"specieslatbiTWOSTO",-17.1730786432056,17.630618105848,-0.974048586391272,0.330697526063954
