"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",5.68748294441837,14.9250671461304,0.381069169654822,0.703380515768314
"siteMF1",11.9053913009774,6.94386266080766,1.71451998441349,0.0873084956336167
"sitePL1",40.8999878556101,7.09208856285723,5.7669877488293,1.76004068104713e-08
"siteSF1",101.361983064617,10.1294719455733,10.0066403865123,6.35951792108557e-21
"siteSG1",0.132598388914927,4.90823457748453,0.0270154954539447,0.978462597742337
"siteSG2",15.6690811206213,5.58008990657381,2.80803381002191,0.00526079761682546
"specieslatbiLONSOF",-9.47944703695175,15.0922404331931,-0.628100716981894,0.530342954206509
"specieslatbiPICGLA",-7.78991683872922,15.8509967605594,-0.491446497428615,0.623415244250924
"specieslatbiPINCON",-0.0313511659672546,16.4881059682013,-0.00190144131944069,0.998483941284378
"specieslatbiTHUPLI",-1.03930571619898,14.7387329414483,-0.07051526887201,0.943823366044199
"specieslatbiTSUHET",-1.92777703916799,14.4321535845614,-0.133575147179019,0.893814439638898
"specieslatbiTWOSTO",-20.1916237312573,17.5767389883324,-1.14876961788308,0.251426602892547
