"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",97.7244962630126,0.250716649296553,389.780640963425,0
"siteMF1",0.521013308272932,0.116645503999928,4.46663857934255,1.07029945379564e-05
"sitePL1",0.418816285022439,0.119135456047511,3.51546297733074,0.00049602406538673
"siteSF1",0.354929027021448,0.170158515232945,2.08587284941663,0.0377057249048301
"siteSG1",-0.416110929679343,0.0824502908549696,-5.04680972455614,7.19870881361058e-07
"siteSG2",-0.00359113286414036,0.0937363584667304,-0.0383109918379745,0.969461322557307
"specieslatbiLONSOF",1.10471225147934,0.253524886336554,4.35741148509122,1.72658149891804e-05
"specieslatbiPICGLA",1.10002131125875,0.266270748192133,4.13121350628047,4.5072711809036e-05
"specieslatbiPINCON",1.21800697222345,0.276973137951054,4.39756353714958,1.44986925558756e-05
"specieslatbiTHUPLI",1.00760107023454,0.247586540266568,4.06969243622731,5.8091753733134e-05
"specieslatbiTSUHET",0.921060940810575,0.242436509894872,3.79918412952725,0.000170836908872614
"specieslatbiTWOSTO",1.23150101552143,0.295260387210876,4.17089819313246,3.82043552280631e-05
