rowname,PFD-FR,PFD-R
POPTRI,-270.42161,-411.33018000000004
POPTRI.1,-271.442753,-410.9634920000001
POPTRI.2,-215.39286800000002,-350.197266
ALNRUB,-107.97086399999999,-200.16644299999996
ALNRUB.1,-182.56263399999995,-294.905685
ALNRUB.2,-146.500558,-246.60578899999996
ALNRUB.3,93.49289700000001,69.83280900000001
ALNRUB.4,56.773689000000005,21.880386
ALNRUB.5,-11.919029000000009,-83.47390799999998
ACEMAC,-108.713845,-206.69201600000002
ACEMAC.1,-100.18949900000003,-201.91432500000002
ACEMAC.2,-116.903149,-207.34227500000003
ACEMAC.3,-102.737793,-172.27983100000006
ACEMAC.4,-103.99709299999999,-173.09371500000003
ACEMAC.5,-107.809578,-172.291895
ALNRUB.6,-83.27948799999997,-145.30403900000005
ALNRUB.7,-168.88924399999996,-253.82182
ALNRUB.8,173.98261300000001,186.9973
ALNRUB.9,-173.10239499999994,-293.822536
ALNRUB.10,-168.43356799999998,-286.73582400000004
ALNRUB.11,-178.171158,-293.44882700000005
ALNRUB.12,-75.28828100000003,-139.922571
ALNRUB.13,0.8795539999999704,-36.03147800000001
ALNRUB.14,24.743826999999968,-5.620681000000005
ALNRUB.15,106.53508699999999,95.21842899999997
ALNRUB.16,95.24933599999999,79.99111899999998
ALNRUB.17,72.63690899999999,44.45072899999998
ACEMAC.6,-192.27574899999996,-308.979527
ACEMAC.7,-190.82221599999997,-308.766476
ACEMAC.8,-190.559235,-308.139692
ACEMAC.9,-76.56162299999998,-152.83491400000003
ACEMAC.10,-53.155837999999974,-139.63836200000003
ACEMAC.11,-72.39030799999999,-152.89741600000002
THUPLI,-119.27135899999998,-226.30836600000004
THUPLI.1,-116.01302799999998,-223.75962900000002
THUPLI.2,-110.32670599999999,-212.156248
THUPLI.3,-192.84099999999995,-314.720522
THUPLI.4,-190.73410099999995,-314.155394
THUPLI.5,-142.61371599999995,-255.558083
ACEMAC.12,-27.329491000000033,-65.53123499999997
ACEMAC.13,-255.554886,-377.70967699999994
ACEMAC.14,-198.38314099999997,-305.04364799999996
ALNRUB.18,-189.037289,-289.911625
ALNRUB.19,-213.20695899999998,-307.16035200000005
ALNRUB.20,-184.86008099999998,-285.623713
ALNRUB.21,-263.567124,-397.76357699999994
ALNRUB.22,-288.497807,-434.0409179999999
ALNRUB.23,-271.512452,-416.74169199999994
THUPLI.6,-88.433205,-191.06729099999995
THUPLI.7,-190.953774,-320.35660499999994
THUPLI.8,-233.69117799999998,-386.435642
ACEGLA,-87.32946,-163.57280000000003
ACEGLA.1,-121.213802,-215.805679
ACEGLA.2,-117.81507899999998,-213.391458
ACEMAC.15,-166.06678800000003,-271.23776300000003
ACEMAC.16,-163.613152,-270.966413
ACEMAC.17,-157.99618200000003,-265.00133
ACEMAC.18,-6.006042999999991,-58.446613
ACEMAC.19,250.605415,283.958145
ACEMAC.20,-16.437690999999987,-60.110406999999995
THUPLI.9,-50.77048500000002,-124.92128100000001
THUPLI.10,-42.12334800000001,-115.059622
THUPLI.11,-47.85208900000002,-122.52300899999999
THUPLI.12,-199.317516,-319.804705
THUPLI.13,-124.552788,-211.24286700000005
THUPLI.14,-209.967403,-323.76761500000003
TSUHET,-202.92048599999998,-311.918152
TSUHET.1,-189.58745199999998,-300.09753800000004
TSUHET.2,-119.21564500000001,-204.466156
ACEMAC.21,18.61345800000001,-5.2941569999999984
ACEMAC.22,73.59445900000001,51.94849400000001
ACEMAC.23,56.552192000000005,16.430135000000007
ACEMAC.24,91.936333,79.846138
ACEMAC.25,159.69426,169.48732
ACEMAC.26,251.326584,293.482483
ALNRUB.24,-110.45909900000002,-180.23352800000004
ALNRUB.25,35.74101999999998,13.878129000000015
ALNRUB.26,-78.19986800000002,-133.629432
ALNRUB.27,1.9322699999999884,-42.47359100000001
ALNRUB.28,-0.08238600000001384,-47.65723200000001
ALNRUB.29,13.083804999999998,-33.366888
ACEGLA.3,-314.928009,-470.14249199999995
ACEGLA.4,-325.60982099999995,-488.01129100000003
ACEGLA.5,-334.10288199999997,-489.99962200000004
