,x_density,x_temp,x_soiltype,x_soiltreat,y_biomass,parameter,y_pred
1,0,0,0,0,50,intercept,49.81894014
1.1,0,0,0,0,50,intercept,50.04161439
1.2,0,0,0,0,50,intercept,50.16266618
1.3,0,0,0,0,50,intercept,49.64814534
1.4,0,0,0,0,50,intercept,50.0643687
1.5,0,0,0,0,50,intercept,50.07590838
1.6,0,0,0,0,50,intercept,49.91378901
1.7,0,0,0,0,50,intercept,49.91800522
1.8,0,0,0,0,50,intercept,49.9153322
1.9,0,0,0,0,50,intercept,49.86649433
1.1,0,0,0,0,50,intercept,49.9284211
1.11,0,0,0,0,50,intercept,49.85024203
1.12,0,0,0,0,50,intercept,49.88356192
1.13,0,0,0,0,50,intercept,50.00966882
1.14,0,0,0,0,50,intercept,50.14392411
1.15,0,0,0,0,50,intercept,49.98345718
1.16,0,0,0,0,50,intercept,49.92334857
1.17,0,0,0,0,50,intercept,49.86332069
1.18,0,0,0,0,50,intercept,49.87442425
1.19,0,0,0,0,50,intercept,50.36237528
1.2,0,0,0,0,50,intercept,50.02011323
1.21,0,0,0,0,50,intercept,49.92639712
1.22,0,0,0,0,50,intercept,49.93391782
1.23,0,0,0,0,50,intercept,50.06893842
1.24,0,0,0,0,50,intercept,49.89594196
1.25,0,0,0,0,50,intercept,49.78276926
1.26,0,0,0,0,50,intercept,50.08621336
1.27,0,0,0,0,50,intercept,49.84645164
1.28,0,0,0,0,50,intercept,49.99772925
1.29,0,0,0,0,50,intercept,49.85960771
1.3,0,0,0,0,50,intercept,50.16534463
1.31,0,0,0,0,50,intercept,49.92866104
1.32,0,0,0,0,50,intercept,49.89358399
1.33,0,0,0,0,50,intercept,49.92481129
1.34,0,0,0,0,50,intercept,49.75563598
1.35,0,0,0,0,50,intercept,49.82485711
1.36,0,0,0,0,50,intercept,49.67299405
1.37,0,0,0,0,50,intercept,49.79885102
1.38,0,0,0,0,50,intercept,49.95585592
1.39,0,0,0,0,50,intercept,49.93011537
1.4,0,0,0,0,50,intercept,50.21742444
1.41,0,0,0,0,50,intercept,49.83970359
1.42,0,0,0,0,50,intercept,49.8716953
1.43,0,0,0,0,50,intercept,49.95790655
1.44,0,0,0,0,50,intercept,49.85084899
1.45,0,0,0,0,50,intercept,49.85472285
1.46,0,0,0,0,50,intercept,49.83390227
1.47,0,0,0,0,50,intercept,49.81220212
1.48,0,0,0,0,50,intercept,49.92142578
1.49,0,0,0,0,50,intercept,49.92547251
1.5,0,0,0,0,50,intercept,49.72909531
1.51,0,0,0,0,50,intercept,49.91268861
1.52,0,0,0,0,50,intercept,49.83366656
1.53,0,0,0,0,50,intercept,49.8477557
1.54,0,0,0,0,50,intercept,49.97565357
