Site,Plot,Sub_plot,Height_2020,Height_2021,Height_2022,Height_2023,Distance to Conspecific,Germinant_ID,Count_2020,Count_2021,Count_2022,Count_2023,Tooth Pick ,,Note
JCMH,1,A,31,49,62,50,86,ABILAS,1,1,1,1,red spade,,
JCMH,1,B,,0,,,,,0,0,0,0,,,
JCMH,1,C,30,33,44,,92,ABILAS,1,1,1,0,yellow club,,
JCMH,1,C,19,MAD,,MAD,110.5,ABILAS,1,0,0,0,white heart,,
JCMH,1,D,,0,,,,,0,0,0,0,,,
JCMH,1,E,710,MAD,,,110,ABILAS,1,0,0,0,blue heart,,tag was out of the ground
JCMH,1,F,,0,,,,,0,0,0,0,,,
JCMH,2,A,45,MAD,,,95,ABILAS,1,0,0,0,red club ,,
JCMH,2,B,,0,,,,,0,0,0,0,,,
JCMH,2,C,,0,,,,,0,0,0,0,,,
JCMH,2,D,40,42,56,56,10,ABILAS,1,1,1,1,orange spade,,
JCMH,2,D,,38,46,49,250,ABILAS,0,1,1,1,red diamond,,
JCMH,2,E,22,MAD,MAD,MAD,100,ABILAS,1,0,0,0,blue heart ,,
JCMH,2,E,,32,42,43,220,ABILAS,0,1,1,1,red heart,,
JCMH,2,E,,49,51,63,230,ABILAS,0,1,1,1,blue heart,,
JCMH,2,F,16,MAD,,,26,ABILAS,1,0,0,0,orange club,,
JCMH,2,F,45,42,49,44,35,ABILAS,1,1,1,1,orange heart ,,
JCMH,2,F,30,MAD,,,25,ABILAS,1,0,0,0,red heart,,
JCMH,2,F,9,MAD,,,30,ABILAS,1,0,0,0,blue diamond,,
JCMH,2,F,38,47,48,44,32,ABILAS,1,1,1,1,yellow diamond,,
JCMH,2,F,34,34,39,36,48,ABILAS,1,1,1,1,white club ,,white spade?
JCMH,3,A,,0,,,,,0,0,0,0,,,
JCMH,3,B,,0,,,,,0,0,0,0,,,
JCMH,3,C,40,MAD,,,33,ABILAS,1,0,0,0,green heart ,,
JCMH,3,D,35,47,53,55,201,ABILAS,1,1,1,1,yellow club ,,
JCMH,3,D,28,MAD,,,180,ABILAS,1,0,0,0,blue heart ,,
JCMH,3,E,,0,,,,,0,0,0,0,,,
JCMH,3,F,27,21,MAD,Dead,73,ABILAS,1,1,0,0,white club ,,looking brown and sad
JCMH,4,A,40,MAD,,,63,ABILAS,1,0,0,0,red spade,,could not find red spade
JCMH,4,B,,0,,,,,0,0,0,0,,,
JCMH,4,C,18,MAD,,,56,ABILAS,1,0,0,0,white heart,,
JCMH,4,D,,0,,,,,0,0,0,0,,,
JCMH,4,E,20,24,26,22,99,ABILAS,1,1,1,1,yellow club,,
JCMH,4,F,,0,,,,,0,0,0,0,,,
JCMH,5,A,,0,,,,,0,0,0,0,,,
JCMH,5,B,21,29,32,27,314,ABILAS,1,1,1,1,blue spade,,
JCMH,5,B,18,MAD,,,311,ABILAS,1,0,0,0,red club ,,
JCMH,5,B,22,31,20,MAD,298,ABILAS,1,1,1,0,green heart ,,
JCMH,5,C,580,MAD,,,175,ABILAS,1,0,0,0,yellow diamond,,
JCMH,5,C,35,30,37,33,170,ABILAS,1,1,1,1,white club ,,
JCMH,5,C,21,22,26,20,188,ABILAS,1,1,1,1,orange heart,,
JCMH,5,D,18,MAD,,,455,ABILAS,1,0,0,0,red club ,,toothpick found in ground out of plot
JCMH,5,D,40,58,56,Dead,143,ABILAS,1,1,1,0,blue spade,,
JCMH,5,D,22,MAD,,,117,ABILAS,1,0,0,0,yellow heart ,,
JCMH,5,D,14,MAD,,,123,ABILAS,1,0,0,0,green club,,toothpick found in ground out of plot
JCMH,5,E,25,MAD,,,125,PICHYB,1,0,0,0,blue heart,,
JCMH,5,E,18,MAD,,,104,TSUHET,1,0,0,0,yellow club,,
JCMH,5,F,,23,30,30,160,ABILAS,0,0,0,0,blue heart,,half brown
JCMH,6,A,90,133,161,Dead,140,ABILAS,1,1,1,0,yellow diamond ,,
JCMH,6,A,83,32,MAD,Dead,152,ABILAS,1,1,0,0,orange heart,,needles drooped
