Site,Plot,Sub_plot,Height_2020,Height_2021,Height_2022,Height_2023,Height_2024,Distance to Conspecific,Germinant_ID,Count,Tooth Pick ,,Note
JCMH,1,A,31,49,62,50,57,86,ABILAS,1,red spade,,out of the ground
JCMH,1,B,,0,,,,,,0,,,
JCMH,1,C,30,33,44,,,92,ABILAS,1,yellow club,,
JCMH,1,C,19,MAD,,MAD,,110.5,ABILAS,1,white heart,,
JCMH,1,D,,0,,,,,,0,,,
JCMH,1,E,710,MAD,,,,110,ABILAS,1,blue heart,,
JCMH,1,F,,0,,,,,,0,,,
JCMH,2,A,45,MAD,,,,95,ABILAS,1,red club ,,
JCMH,2,B,,0,,,,,,0,,,
JCMH,2,C,,0,,,,,,0,,,
JCMH,2,D,40,42,56,56,49,10,ABILAS,1,orange spade,,
JCMH,2,D,,38,46,49,51,250,ABILAS,1,red diamond,,
JCMH,2,E,22,MAD,MAD,MAD,,100,ABILAS,1,blue heart ,,
JCMH,2,E,,32,42,43,42,220,ABILAS,1,red heart,,
JCMH,2,E,,49,51,63,75,230,ABILAS,1,blue heart,,
JCMH,2,F,16,MAD,,,,26,ABILAS,1,orange club,,
JCMH,2,F,45,42,49,44,55,35,ABILAS,1,orange heart ,,
JCMH,2,F,30,MAD,,,,25,ABILAS,1,red heart,,
JCMH,2,F,9,MAD,,,,30,ABILAS,1,blue diamond,,
JCMH,2,F,38,47,48,44,47,32,ABILAS,1,yellow diamond,,
JCMH,2,F,34,34,39,36,42,48,ABILAS,1,white club ,,
JCMH,3,A,,0,,,,,,0,,,Plot corner moved
JCMH,3,B,,0,,,,,,0,,,
JCMH,3,C,40,MAD,,,,33,ABILAS,1,green heart ,,
JCMH,3,D,35,47,53,55,49,201,ABILAS,1,yellow club ,,hard to find: top lefthand corner (uphill) over by ~4 inches
JCMH,3,D,28,MAD,,,,180,ABILAS,1,blue heart ,,
JCMH,3,E,,0,,,,,,0,,,
JCMH,3,F,27,21,MAD,Dead,,73,ABILAS,1,white club ,,
JCMH,4,A,40,MAD,,,,63,ABILAS,1,red spade,,
JCMH,4,B,,0,,,,,,0,,,
JCMH,4,C,18,MAD,,,,56,ABILAS,1,white heart,,
JCMH,4,D,,0,,,,,,0,,,
JCMH,4,E,20,24,26,22,33,99,ABILAS,1,yellow club,,
JCMH,4,F,,0,,,,,,0,,,
JCMH,5,A,,0,,,,,,0,,,
JCMH,5,B,21,29,32,27,34,314,ABILAS,1,blue spade,,
JCMH,5,B,18,MAD,,,,311,ABILAS,1,red club ,,
JCMH,5,B,22,31,20,MAD,,298,ABILAS,1,green heart ,,
JCMH,5,C,580,MAD,,,,175,ABILAS,1,yellow diamond,,
JCMH,5,C,35,30,37,33,42,170,ABILAS,1,white club ,,
JCMH,5,C,21,22,26,20,21,188,ABILAS,1,orange heart,,"looks sad, missing needles"
JCMH,5,D,18,MAD,,,,455,ABILAS,1,red club ,,
JCMH,5,D,40,58,56,Dead,,143,ABILAS,1,blue spade,,
JCMH,5,D,22,MAD,,,,117,ABILAS,1,yellow heart ,,
JCMH,5,D,14,MAD,,,,123,ABILAS,1,green club,,
