Site,Plot,SM_1,SM_2,SM_3,SM_4,SM_5
JCMH1,A,3.3,2.4,2.5,1.4,2
,B,5.7,5.6,10.4,0.9,5.4
,C,0,0,0,0,0
,D,11.9,14.2,7.3,1.4,8.5
,E,10.1,10.1,11.1,1.8,11
,F,3.4,0.6,1,3.1,2.1
JCMH2,A,10.5,10.9,7.1,7.2,11
,B,0.3,0.7,0.5,0.9,2.4
,C,12.5,9.7,1.9,8.2,4.1
,D,3.6,4.9,0.6,1.8,3.6
,E,2.8,13.4,6,5.6,7.3
,F,0.6,0.4,6.4,2.1,2.2
JCMH3,A,5.3,5.7,2.7,8.4,2
,B,10.6,11.7,7.6,9.7,3.3
,C,4.9,6.9,3,5.5,1.1
,D,3.8,4.3,6.2,3.7,6.9
,E,4.4,3.8,3.4,5.4,4.3
,F,1.7,2.1,6.5,0.3,2.8
JCMH4,A,0.9,1.4,6.6,23.5,15.4
,B,2.4,17,2.9,3,1.5
,C,8.9,8.9,7.1,9.3,5.5
,D,9.1,5.4,9.3,14.3,3.6
,E,3.7,5.7,2.2,6.2,8.2
,F,5.5,6.4,10.5,5.2,12.3
JCMH5,A,3.3,8.5,3.1,87,0.1
,B,7.1,9.5,9.6,11.8,12.8
,C,2.9,7.7,5.2,11.1,3.8
,D,10.1,11.9,8.9,10.2,10.1
,E,3.8,8.9,4.9,5.3,5.4
,F,3.8,5.6,5.4,1.5,7.7
JCMH6,A,12.9,8.6,8.6,7,8
,B,18.7,19.4,5.8,10.4,11.1
,C,14.1,10,4.9,6.4,6.4
,D,9.1,6.8,9.8,17.3,6.9
,E,13.6,15.9,4.7,18.9,7.8
,F,8.7,5.6,8.3,9.9,4.2
JCMH7,A,3,1.2,3.5,7.2,2.1
,B,1.7,0.4,0.3,0.6,4.9
,C,2.3,5.2,3.3,3.9,1.6
,D,6.4,1.8,2.2,4.1,3.4
,E,3,3.5,6.2,5.1,4.4
,F,5.2,6.8,2.9,1.7,1
JCMH8,A,6.4,4.3,8.5,6.4,6.8
,B,0.7,2.6,2.1,1.4,2.1
,C,5.1,1.9,0.3,1.7,1
,D,14.7,11.8,2.1,15.2,11.3
,E,0,0,0,0,0
,F,1.5,0.8,1.6,0,4
JCMH9,A,4.8,1,1.9,3.4,3.1
,B,0.3,9.2,6.6,6.2,2
,C,5.8,0.1,2.2,4.2,0.3
,D,0.6,3.6,5.6,3.5,1.1
,E,4.3,2.7,6.1,10.7,4.8
,F,0,1.9,0.1,0.5,2.2
JCMH10,A,10.8,13.4,4.9,2.7,8.4
,B,5.8,1.9,1.5,1.2,0.7
,C,2.9,2.3,0.7,1.5,0.5
,D,2,4.5,2.9,2.8,2.3
,E,4.5,0,1.1,3.7,0.6
,F,2.4,0.7,4.3,0,0.4
JCMH11,A,NA,,,, 
,B,3.9,3.8,5.1,0.6,4.4
,C,7.9,0.8,5.1,4.5,3.1
,D,0.2,0.8,0,0,1.9
,E,6.6,0.9,4.5,7.5,4.3
,F,12.4,4.5,3.1,6.5,1.8
JCMH12,A,5.6,4.9,10.7,12.6,2.5
,B,6.6,7.4,8.6,13.6,5.6
,C,6.4,14.4,1.9,9.2,11.1
,D,2.7,3.3,2.5,5.1,1.6
,E,1,1.8,3.5,0.2,8.6
,F,9.8,3.8,5.8,5.8,3.4
JCMH13,A,1.3,3.9,6.5,6.2,13
,B,4.1,8.1,5.7,5.1,2.4
,C,6.6,3.6,5.7,4.1,4.8
,D,1.7,4.3,2.4,2.7,7.1
,E,4.9,0.5,9.5,4.7,4.1
,F,1.4,2.6,2.3,5.7,0.8
JCMH14,A,0.8,1.5,3.5,3.1,2.2
,B,3.9,10.9,7.4,1.5,4.1
,C,4.4,7.9,3.5,6.1,2.2
,D,0.8,0.5,2.3,1.9,2.8
,E,0.8,1.7,3.9,4.9,1.2
,F,8,8.5,10.5,9.7,5.3
JCMH15,A,0.5,3.3,3.8,1.2,3.6
,B,3.6,5.5,2.3,2,2.3
,C,2.5,3.1,4.4,2.1,2.1
,D,3.5,2.4,4.7,3.6,1.6
,E,2.4,4.6,1,0.5,2.8
,F,2,2.1,2.5,1.7,2.8
JCMH16,A,0.1,2.6,2.3,2.4,3.7
,B,0.5,0.5,2,0.7,1.6
,C,1.7,0.4,0.3,3.4,0.6
,D,4.9,1.8,6.7,7.6,2.5
,E,0.2,1.3,1.9,4,1.1
,F,1,2.5,3.8,4.3,3.3
JCMH17,A,4.3,6,2.5,2.1,9.7
,B,2.5,10.7,0.5,0,0.9
,C,1.5,0,0,0,0
,D,0,0,0,0,0
,E,1.4,0.5,0.5,0,0
,F,0.3,0,0,0,0
