Site,Plot,,Tree_ID,DBH (CM)
JCMH,7,DL/CDR,Pincon1,41.9
JCMH,7,DL/CDR,Abilas90,1.4
JCMH,7,DL/CDR,Pincon2,25.2
JCMH,7,DL/CDR,Abilas3,6.5
JCMH,7,DL/CDR,Abilas,1.7
JCMH,7,DL/CDR,Abilas,1.5
JCMH,7,DL/CDR,Abilas,3.2
JCMH,7,DL/CDR,Abilas,3
JCMH,7,DL/CDR,Abilas,2.4
JCMH,7,DL/CDR,Pincon4,40
JCMH,7,DL/CDR,Abilas,1.4
JCMH,7,DL/CDR,Abilas,9.5
JCMH,7,DL/CDR,Pincon,20.8
JCMH,7,DL/CDR,Abilas18-19,1.2
JCMH,7,DL/CDR,Pincon3,20.6
JCMH,7,DL/CDR,Abilas,1.4
JCMH,7,DL/CDR,Abilas22-24,2.7
JCMH,7,DL/CDR,Abilas11-14,2.9
JCMH,7,DL/CDR,Abilas,45.2
JCMH,7,DL/CDR,Abilas,5.7
JCMH,7,DL/CDR,Abilas9-10,13.8
JCMH,7,DL/CDR,Abilas15-17,4.1
JCMH,7,DL/CDR,Pincon5,2.32
JCMH,7,DL/CDR,Abilas,27.9
JCMH,7,DL/CDR,Abilas,22.1
JCMH,7,DL/CDR,Abilas,6.4
JCMH,7,DL/CDR,Abilas,17.1
JCMH,7,DL/CDR,Pincon7,36.8
JCMH,7,DL/CDR,Abilas25,8.3
JCMH,7,DL/CDR,Abilas,10
JCMH,7,DL/CDR,Abilas,12.1
JCMH,7,DL/CDR,Abilas,13.9
JCMH,7,DL/CDR,Abilas20-21,11.2
JCMH,7,DL/CDR,Pincon,42.4
JCMH,7,DL/CDR,Abilas26-27,7.1
JCMH,7,DL/CDR,Abilas28,20.6
JCMH,7,DL/CDR,Abilas,10.1
JCMH,7,DL/CDR,Abilas,14.2
JCMH,7,DL/CDR,Abilas,14.7
JCMH,7,DL/CDR,Abilas,15.6
JCMH,7,DL/CDR,Abilas,9.6
JCMH,7,DL/CDR,Abilas,18.8
JCMH,7,DL/CDR,Abilas,9.6
JCMH,7,DL/CDR,Abilas,12.6
JCMH,7,DL/CDR,Pincon6,42.5
JCMH,7,DL/CDR,Abilas,5.3
JCMH,7,DL/CDR,Abilas,32.3
JCMH,7,DL/CDR,Abilas,12
