Site,Plitterot,Sp. ,PC%
JCMH,1A,litter,10
JCMH,1A,bareground,0
JCMH,1A,nurse log,0
JCMH,1A,vegetation,90
JCMH,1B,litter,5
JCMH,1B,bareground,0
JCMH,1B,nurse log,15
JCMH,1B,vegetation,95
JCMH,1C,litter,99
JCMH,1C,bareground,0
JCMH,1C,nurse log,0
JCMH,1C,vegetation,5
JCMH,1D,litter,5
JCMH,1D,bareground,0
JCMH,1D,nurse log,0
JCMH,1D,vegetation,95
JCMH,1E,litter,70
JCMH,1E,bareground,0
JCMH,1E,nurse log,1
JCMH,1E,vegetation,40
JCMH,1F,litter,80
JCMH,1F,bareground,0
JCMH,1F,nurse log,0
JCMH,1F,vegetation,15
JCMH,2A,litter,5
JCMH,2A,bareground,0
JCMH,2A,nurse log,0
JCMH,2A,vegetation,99
JCMH,2B,litter,50
JCMH,2B,bareground,0
JCMH,2B,nurse log,0
JCMH,2B,vegetation,70
JCMH,2C,litter,50
JCMH,2C,bareground,0
JCMH,2C,nurse log,0
JCMH,2C,vegetation,90
JCMH,2D,litter,10
JCMH,2D,bareground,0
JCMH,2D,nurse log,0
JCMH,2D,vegetation,90
JCMH,2E,litter,1
JCMH,2E,bareground,0
JCMH,2E,nurse log,0
JCMH,2E,vegetation,99
JCMH,2F,litter,10
JCMH,2F,bareground,0
JCMH,2F,nurse log,0
JCMH,2F,vegetation,90
JCMH,3A,litter,10
JCMH,3A,bareground,0
JCMH,3A,nurse log,0
JCMH,3A,vegetation,95
JCMH,3B,litter,10
JCMH,3B,bareground,0
JCMH,3B,nurse log,0
JCMH,3B,vegetation,90
JCMH,3C,litter,1
JCMH,3C,bareground,0
JCMH,3C,nurse log,20
JCMH,3C,vegetation,95
JCMH,3D,litter,5
JCMH,3D,bareground,0
JCMH,3D,nurse log,0
JCMH,3D,vegetation,99
JCMH,3E,litter,5
JCMH,3E,bareground,0
JCMH,3E,nurse log,1
JCMH,3E,vegetation,95
JCMH,3F,litter,5
